quarantine_reason,order_id,customer_id,order_date,status,region_code
order_date in the future,ORD003969,CUST00665,2027-08-20 23:59:59,DELIVERED,CENTRAL
order_date in the future,ORD001823,CUST00301,2027-06-27 23:59:59,DELIVERED,CENTRAL
order_date in the future,ORD004091,CUST00684,2027-02-27 23:59:59,DELIVERED,WEST
order_date in the future,ORD003226,,2026-11-17 23:59:59,SHIPPED,SOUTH
order_date in the future,ORD002098,CUST00346,2027-08-24 23:59:59,DELIVERED,NORTH
order_date in the future,ORD000665,CUST00112,2027-08-20 23:59:59,DELIVERED,WEST
order_date in the future,ORD002026,CUST00336,2026-10-20 23:59:59,RETURNED,NORTH
order_date in the future,ORD001993,CUST00330,2027-09-01 23:59:59,RETURNED,SOUTH
order_date in the future,ORD000745,CUST00124,2027-09-02 23:59:59,CANCELLED,WEST
order_date in the future,ORD004406,,2027-03-29 23:59:59,DELIVERED,EAST
