delivery_id,order_id,rider_id,pickup_time,delivery_time,zone,distance_km,status
DEL-7260,ORD-100321,RDR-010,2024-04-17 10:47:34,,Borivali,5.6,failed
DEL-7261,ORD-100322,RDR-001,2024-04-17 11:20:44,,HSR Layout,7.8,failed
DEL-7262,ORD-100323,RDR-001,2024-04-17 17:14:21,2024-04-17 18:18:21,Borivali,5.5,success
DEL-7263,ORD-100324,RDR-014,2024-04-17 09:32:19,2024-04-17 09:56:19,HSR Layout,6.6,success
DEL-7264,ORD-100325,RDR-012,2024-04-17 19:34:07,,Bandra,2.2,failed
DEL-7265,ORD-100326,RDR-009,2024-04-17 13:00:15,2024-04-17 13:33:15,Thane,2.0,success
DEL-7266,ORD-100327,RDR-018,2024-04-17 21:55:15,2024-04-17 23:10:15,Indiranagar,6.3,success
DEL-7267,ORD-100328,RDR-010,2024-04-17 14:44:49,2024-04-17 15:07:49,North Delhi,5.5,success
DEL-7268,ORD-100329,RDR-024,2024-04-17 20:41:21,2024-04-17 21:05:21,South Delhi,7.3,success
DEL-7269,ORD-100330,RDR-030,2024-04-17 17:37:12,,Jayanagar,2.0,failed
DEL-7270,ORD-100331,RDR-028,2024-04-17 21:43:24,2024-04-17 22:20:24,Indiranagar,2.0,success
DEL-7271,ORD-100332,RDR-007,2024-04-17 21:49:10,,South Delhi,7.0,failed
DEL-7272,ORD-100333,RDR-002,2024-04-17 23:32:29,2024-04-18 00:18:29,Koramangala,7.9,success
DEL-7273,ORD-100336,RDR-018,2024-04-17 08:03:29,2024-04-17 09:07:29,Jayanagar,7.6,success
DEL-7274,ORD-100337,RDR-012,2024-04-17 14:12:43,2024-04-17 15:01:43,South Delhi,5.3,success
DEL-7275,ORD-100338,RDR-014,2024-04-17 13:01:35,2024-04-17 13:38:35,Andheri East,4.5,success
DEL-7276,ORD-100339,RDR-026,2024-04-17 08:42:23,2024-04-17 09:30:23,Borivali,5.3,success
DEL-7277,ORD-100341,RDR-027,2024-04-17 22:21:55,2024-04-17 23:36:55,North Delhi,6.6,success
DEL-7278,ORD-100342,RDR-020,2024-04-17 17:47:37,2024-04-17 18:36:37,Koramangala,7.7,success
DEL-7279,ORD-100343,RDR-023,2024-04-17 16:29:11,2024-04-17 17:00:11,Jayanagar,2.4,success
DEL-7280,ORD-100344,RDR-005,2024-04-17 18:02:09,,Andheri East,7.5,failed
DEL-7281,ORD-100345,RDR-004,2024-04-17 18:19:45,2024-04-17 18:47:45,Rohini,5.7,success
DEL-7282,ORD-100346,RDR-003,2024-04-17 07:37:39,,South Delhi,5.7,failed
DEL-7283,ORD-100347,RDR-003,2024-04-17 19:31:31,,Whitefield,7.1,failed
DEL-7284,ORD-100350,RDR-014,2024-04-17 21:26:01,2024-04-17 22:23:01,Jayanagar,4.4,success
DEL-7285,ORD-100351,RDR-005,2024-04-17 22:58:52,2024-04-17 23:47:52,Andheri West,7.1,success
DEL-7286,ORD-100352,RDR-011,2024-04-17 12:37:17,2024-04-17 13:31:17,Karol Bagh,3.3,success
DEL-7287,ORD-100353,RDR-007,2024-04-17 15:59:44,2024-04-17 16:51:44,Andheri West,2.5,success
DEL-7288,ORD-100354,RDR-020,2024-04-17 10:47:29,2024-04-17 11:59:29,Kurla,4.1,success
DEL-7289,ORD-100355,RDR-005,2024-04-17 17:43:45,2024-04-17 18:22:45,Koramangala,1.9,success
DEL-7290,ORD-100356,RDR-004,2024-04-17 20:56:48,2024-04-17 21:58:48,Andheri West,1.1,success
DEL-7291,ORD-100357,RDR-017,2024-04-17 14:17:57,2024-04-17 14:59:57,Bandra,2.1,success
DEL-7292,ORD-100358,RDR-018,2024-04-17 15:12:36,2024-04-17 15:42:36,Koramangala,7.3,success
DEL-7293,ORD-100359,RDR-011,2024-04-17 11:15:13,2024-04-17 12:01:13,Rohini,1.8,success
DEL-7294,ORD-100360,RDR-015,2024-04-17 21:40:33,2024-04-17 22:43:33,Borivali,7.8,success
DEL-7295,ORD-100362,RDR-016,2024-04-17 19:38:44,2024-04-17 20:51:44,Rohini,4.0,success
DEL-7296,ORD-100364,RDR-004,2024-04-17 07:26:47,2024-04-17 08:05:47,Kurla,5.4,success
DEL-7297,ORD-100365,RDR-002,2024-04-17 23:27:29,,Bandra,4.1,failed
DEL-7298,ORD-100366,RDR-028,2024-04-17 13:06:42,,Thane,4.3,failed
DEL-7299,ORD-100368,RDR-011,2024-04-17 08:27:57,2024-04-17 09:42:57,Indiranagar,3.1,success
DEL-7300,ORD-100369,RDR-023,2024-04-17 07:54:20,2024-04-17 09:05:20,Rohini,4.4,success
DEL-7301,ORD-100370,RDR-020,2024-04-17 17:59:32,,Dwarka,6.6,failed
DEL-7302,ORD-100371,RDR-018,2024-04-17 10:55:21,,Jayanagar,5.7,failed
DEL-7303,ORD-100372,RDR-015,2024-04-17 08:19:45,2024-04-17 09:12:45,Jayanagar,2.4,success
DEL-7304,ORD-100373,RDR-022,2024-04-17 14:45:47,2024-04-17 15:46:47,Dwarka,2.1,success
DEL-7305,ORD-100374,RDR-005,2024-04-17 15:03:15,2024-04-17 15:35:15,Hebbal,2.1,success
DEL-7306,ORD-100375,RDR-014,2024-04-17 16:10:51,2024-04-17 17:25:51,Indiranagar,1.4,success
DEL-7307,ORD-100376,RDR-025,2024-04-17 09:50:53,2024-04-17 10:25:53,Bandra,5.2,success
DEL-7308,ORD-100378,RDR-030,2024-04-17 16:26:37,2024-04-17 17:03:37,Rohini,7.2,success
