item_id,order_id,product_id,product_name,category,qty,unit_price,discount_pct
ITM-00258,ORD-100101,PRD-603,Potatoes 1kg,Vegetables,5,22.0,0
ITM-00259,ORD-100101,PRD-601,Tomatoes 1kg,Vegetables,3,35.0,0
ITM-00260,ORD-100101,PRD-503,Paneer 200g,Dairy,2,89.0,10
ITM-00261,ORD-100101,PRD-903,Head & Shoulders 180ml,Personal Care,4,199.0,10
ITM-00262,ORD-100102,PRD-732,Real Guava Juice 1L,Beverages,3,85.0,0
ITM-00263,ORD-100102,PRD-603,Potatoes 1kg,Vegetables,3,22.0,0
ITM-00264,ORD-100103,PRD-901,Colgate MaxFresh 150g,Personal Care,1,89.0,5
ITM-00265,ORD-100103,PRD-903,Head & Shoulders 180ml,Personal Care,4,199.0,0
ITM-00266,ORD-100103,PRD-502,Amul Full Cream Milk 1L,Dairy,5,68.0,0
ITM-00267,ORD-100103,PRD-732,Real Guava Juice 1L,Beverages,1,85.0,0
ITM-00268,ORD-100104,PRD-502,Amul Full Cream Milk 1L,Dairy,2,68.0,15
ITM-00269,ORD-100104,PRD-802,Britannia Good Day,Snacks,4,35.0,10
ITM-00270,ORD-100104,PRD-803,Maggi 12-pack,Snacks,4,144.0,0
ITM-00271,ORD-100105,PRD-732,Real Guava Juice 1L,Beverages,1,85.0,10
ITM-00272,ORD-100105,PRD-401,Basmati Rice 5kg,Staples,4,320.0,5
ITM-00273,ORD-100105,PRD-210,Brown Bread,Bakery,5,40.0,10
ITM-00274,ORD-100105,PRD-603,Potatoes 1kg,Vegetables,2,22.0,5
ITM-00275,ORD-100106,PRD-802,Britannia Good Day,Snacks,2,35.0,0
ITM-00276,ORD-100107,PRD-731,Tropicana Orange 1L,Beverages,2,99.0,15
ITM-00277,ORD-100108,PRD-603,Potatoes 1kg,Vegetables,3,22.0,0
ITM-00278,ORD-100108,PRD-802,Britannia Good Day,Snacks,3,35.0,10
ITM-00279,ORD-100108,PRD-902,Dettol Soap 75g,Personal Care,4,45.0,5
ITM-00280,ORD-100108,PRD-403,Aashirvaad Atta 5kg,Staples,1,265.0,15
ITM-00281,ORD-100109,PRD-401,Basmati Rice 5kg,Staples,2,320.0,5
ITM-00282,ORD-100109,PRD-210,Brown Bread,Bakery,5,40.0,0
ITM-00283,ORD-100109,PRD-731,Tropicana Orange 1L,Beverages,4,99.0,10
ITM-00284,ORD-100109,PRD-402,Toor Dal 1kg,Staples,3,145.0,0
ITM-00285,ORD-100110,PRD-801,Lays Classic Salted,Snacks,1,20.0,0
ITM-00286,ORD-100111,PRD-502,Amul Full Cream Milk 1L,Dairy,5,68.0,5
ITM-00287,ORD-100111,PRD-901,Colgate MaxFresh 150g,Personal Care,4,89.0,0
ITM-00288,ORD-100111,PRD-902,Dettol Soap 75g,Personal Care,1,45.0,10
ITM-00289,ORD-100112,PRD-801,Lays Classic Salted,Snacks,2,20.0,0
ITM-00290,ORD-100113,PRD-603,Potatoes 1kg,Vegetables,1,22.0,15
ITM-00291,ORD-100113,PRD-803,Maggi 12-pack,Snacks,1,144.0,0
ITM-00292,ORD-100113,PRD-732,Real Guava Juice 1L,Beverages,4,85.0,5
ITM-00293,ORD-100113,PRD-401,Basmati Rice 5kg,Staples,4,320.0,10
ITM-00294,ORD-100114,PRD-733,Bisleri Water 1L,Beverages,3,20.0,10
ITM-00295,ORD-100114,PRD-502,Amul Full Cream Milk 1L,Dairy,5,68.0,15
ITM-00296,ORD-100114,PRD-503,Paneer 200g,Dairy,1,89.0,0
ITM-00297,ORD-100114,PRD-903,Head & Shoulders 180ml,Personal Care,3,199.0,0
ITM-00298,ORD-100115,PRD-903,Head & Shoulders 180ml,Personal Care,2,199.0,15
ITM-00299,ORD-100115,PRD-802,Britannia Good Day,Snacks,1,35.0,10
ITM-00300,ORD-100115,PRD-402,Toor Dal 1kg,Staples,3,145.0,0
ITM-00301,ORD-100115,PRD-601,Tomatoes 1kg,Vegetables,1,35.0,5
ITM-00302,ORD-100116,PRD-604,Spinach 500g,Vegetables,4,30.0,5
ITM-00303,ORD-100116,PRD-732,Real Guava Juice 1L,Beverages,2,85.0,15
ITM-00304,ORD-100116,PRD-403,Aashirvaad Atta 5kg,Staples,5,265.0,15
ITM-00305,ORD-100116,PRD-802,Britannia Good Day,Snacks,4,35.0,0
ITM-00306,ORD-100117,PRD-503,Paneer 200g,Dairy,1,89.0,0
ITM-00307,ORD-100118,PRD-403,Aashirvaad Atta 5kg,Staples,5,265.0,0
ITM-00308,ORD-100119,PRD-903,Head & Shoulders 180ml,Personal Care,2,199.0,0
ITM-00309,ORD-100119,PRD-601,Tomatoes 1kg,Vegetables,3,35.0,0
ITM-00310,ORD-100120,PRD-902,Dettol Soap 75g,Personal Care,5,45.0,10
ITM-00311,ORD-100120,PRD-604,Spinach 500g,Vegetables,2,30.0,5
ITM-00312,ORD-100121,PRD-401,Basmati Rice 5kg,Staples,5,320.0,15
ITM-00313,ORD-100121,PRD-402,Toor Dal 1kg,Staples,2,145.0,5
ITM-00314,ORD-100122,PRD-803,Maggi 12-pack,Snacks,2,144.0,15
ITM-00315,ORD-100122,PRD-802,Britannia Good Day,Snacks,5,35.0,0
ITM-00316,ORD-100123,PRD-602,Onions 1kg,Vegetables,1,28.0,5
ITM-00317,ORD-100123,PRD-601,Tomatoes 1kg,Vegetables,5,35.0,5
ITM-00318,ORD-100124,PRD-803,Maggi 12-pack,Snacks,4,144.0,0
ITM-00319,ORD-100125,PRD-403,Aashirvaad Atta 5kg,Staples,4,265.0,0
ITM-00320,ORD-100125,PRD-501,Amul Butter 500g,Dairy,3,55.0,5
ITM-00321,ORD-100126,PRD-731,Tropicana Orange 1L,Beverages,4,99.0,0
ITM-00322,ORD-100126,PRD-801,Lays Classic Salted,Snacks,4,20.0,15
ITM-00323,ORD-100126,PRD-604,Spinach 500g,Vegetables,4,30.0,0
ITM-00324,ORD-100126,PRD-403,Aashirvaad Atta 5kg,Staples,1,265.0,0
ITM-00325,ORD-100127,PRD-802,Britannia Good Day,Snacks,2,35.0,5
ITM-00326,ORD-100127,PRD-602,Onions 1kg,Vegetables,2,28.0,0
ITM-00327,ORD-100127,PRD-603,Potatoes 1kg,Vegetables,4,22.0,5
ITM-00328,ORD-100128,PRD-403,Aashirvaad Atta 5kg,Staples,2,265.0,5
ITM-00329,ORD-100128,PRD-402,Toor Dal 1kg,Staples,1,145.0,0
ITM-00330,ORD-100129,PRD-901,Colgate MaxFresh 150g,Personal Care,5,89.0,10
ITM-00331,ORD-100129,PRD-211,Multigrain Buns (6pk),Bakery,1,55.0,15
ITM-00332,ORD-100129,PRD-903,Head & Shoulders 180ml,Personal Care,2,199.0,0
ITM-00333,ORD-100129,PRD-401,Basmati Rice 5kg,Staples,1,320.0,0
ITM-00334,ORD-100130,PRD-902,Dettol Soap 75g,Personal Care,3,45.0,0
ITM-00335,ORD-100130,PRD-802,Britannia Good Day,Snacks,2,35.0,0
ITM-00336,ORD-100130,PRD-211,Multigrain Buns (6pk),Bakery,4,55.0,10
ITM-00337,ORD-100130,PRD-604,Spinach 500g,Vegetables,1,30.0,0
ITM-00338,ORD-100131,PRD-604,Spinach 500g,Vegetables,1,30.0,0
ITM-00339,ORD-100131,PRD-211,Multigrain Buns (6pk),Bakery,3,55.0,0
ITM-00340,ORD-100131,PRD-503,Paneer 200g,Dairy,3,89.0,0
ITM-00341,ORD-100131,PRD-803,Maggi 12-pack,Snacks,5,144.0,0
ITM-00342,ORD-100132,PRD-802,Britannia Good Day,Snacks,4,35.0,10
ITM-00343,ORD-100132,PRD-403,Aashirvaad Atta 5kg,Staples,2,265.0,5
ITM-00344,ORD-100132,PRD-502,Amul Full Cream Milk 1L,Dairy,1,68.0,15
ITM-00345,ORD-100133,PRD-603,Potatoes 1kg,Vegetables,1,22.0,0
ITM-00346,ORD-100134,PRD-731,Tropicana Orange 1L,Beverages,5,99.0,0
ITM-00347,ORD-100134,PRD-502,Amul Full Cream Milk 1L,Dairy,5,68.0,0
ITM-00348,ORD-100135,PRD-502,Amul Full Cream Milk 1L,Dairy,2,68.0,0
ITM-00349,ORD-100135,PRD-733,Bisleri Water 1L,Beverages,2,20.0,15
ITM-00350,ORD-100135,PRD-902,Dettol Soap 75g,Personal Care,3,45.0,0
ITM-00351,ORD-100135,PRD-210,Brown Bread,Bakery,4,40.0,5
ITM-00352,ORD-100136,PRD-402,Toor Dal 1kg,Staples,4,145.0,15
ITM-00353,ORD-100136,PRD-803,Maggi 12-pack,Snacks,3,144.0,0
ITM-00354,ORD-100136,PRD-501,Amul Butter 500g,Dairy,5,55.0,5
ITM-00355,ORD-100136,PRD-503,Paneer 200g,Dairy,2,89.0,5
ITM-00356,ORD-100137,PRD-502,Amul Full Cream Milk 1L,Dairy,1,68.0,15
ITM-00357,ORD-100138,PRD-731,Tropicana Orange 1L,Beverages,2,99.0,0
ITM-00358,ORD-100138,PRD-210,Brown Bread,Bakery,1,40.0,15
ITM-00359,ORD-100138,PRD-902,Dettol Soap 75g,Personal Care,3,45.0,0
ITM-00360,ORD-100138,PRD-401,Basmati Rice 5kg,Staples,1,320.0,0
ITM-00361,ORD-100139,PRD-210,Brown Bread,Bakery,5,40.0,0
ITM-00362,ORD-100140,PRD-503,Paneer 200g,Dairy,3,89.0,0
ITM-00363,ORD-100140,PRD-209,Whole Wheat Bread,Bakery,4,45.0,0
ITM-00364,ORD-100140,PRD-402,Toor Dal 1kg,Staples,2,145.0,0
ITM-00365,ORD-100140,PRD-403,Aashirvaad Atta 5kg,Staples,5,265.0,10
ITM-00366,ORD-100141,PRD-210,Brown Bread,Bakery,1,40.0,10
