order_id,customer_id,order_date,city,payment_mode,status
ORD-100101,CUST-1037,2024-04-13 20:11:49,Mumbai,Wallet,delivered
ORD-100102,CUST-1039,2024-04-13 21:43:46,Mumbai,Wallet,returned
ORD-100103,CUST-1079,2024-04-13 07:15:13,Bengaluru,UPI,delivered
ORD-100104,CUST-1041,2024-04-13 17:15:19,Delhi,COD,delivered
ORD-100105,CUST-1054,2024-04-13 20:09:19,Bengaluru,COD,cancelled
ORD-100106,CUST-1032,2024-04-13 15:13:21,Bengaluru,Wallet,delivered
ORD-100107,CUST-1076,2024-04-13 13:30:13,Bengaluru,Card,delivered
ORD-100108,CUST-1078,2024-04-13 13:25:58,Bengaluru,Card,delivered
ORD-100109,CUST-1006,2024-04-13 14:47:09,Delhi,Card,delivered
ORD-100110,CUST-1046,2024-04-13 12:08:46,Delhi,Wallet,returned
ORD-100111,CUST-1030,2024-04-13 09:45:09,Mumbai,COD,delivered
ORD-100112,CUST-1069,2024-04-13 16:01:32,Delhi,COD,cancelled
ORD-100113,,2024-04-13 15:52:22,Bengaluru,Wallet,delivered
ORD-100114,CUST-1056,2024-04-13 17:36:54,Delhi,UPI,delivered
ORD-100115,CUST-1051,2024-04-13 09:19:10,Delhi,COD,returned
ORD-100116,CUST-1077,2024-04-13 19:49:20,Bengaluru,Card,delivered
ORD-100117,CUST-1020,2024-04-13 19:45:50,Mumbai,Wallet,delivered
ORD-100118,CUST-1056,2024-04-13 21:35:35,Delhi,Wallet,returned
ORD-100119,CUST-1053,2024-04-13 19:49:05,Delhi,COD,returned
ORD-100120,CUST-1054,2024-04-13 16:30:50,Bengaluru,Card,delivered
ORD-100121,CUST-1080,2024-04-13 19:51:55,Delhi,Wallet,delivered
ORD-100122,CUST-1063,2024-04-13 14:20:24,Mumbai,Wallet,delivered
ORD-100123,CUST-1009,2024-04-13 20:43:31,Mumbai,Card,delivered
ORD-100124,CUST-1047,2024-04-13 09:06:49,Mumbai,Card,delivered
ORD-100125,CUST-1067,2024-04-13 14:28:23,Bengaluru,Wallet,cancelled
ORD-100126,CUST-1011,2024-04-13 10:53:46,Mumbai,Card,delivered
ORD-100127,CUST-1014,2024-04-13 12:59:47,Delhi,COD,delivered
ORD-100128,CUST-1001,2024-04-13 13:13:17,Delhi,UPI,delivered
ORD-100129,CUST-1041,2024-04-13 19:39:25,Delhi,UPI,returned
ORD-100130,CUST-1050,2024-04-13 20:38:08,Bengaluru,Wallet,returned
ORD-100131,CUST-1065,2024-04-13 22:26:43,Delhi,Wallet,cancelled
ORD-100132,CUST-1022,2024-04-13 21:36:47,Delhi,UPI,cancelled
ORD-100133,CUST-1032,2024-04-13 16:55:02,Bengaluru,Card,cancelled
ORD-100134,CUST-1027,2024-04-13 18:55:45,Delhi,Wallet,returned
ORD-100135,CUST-1038,2024-04-13 15:54:32,Bengaluru,COD,delivered
ORD-100136,CUST-1010,2024-04-13 09:25:32,Mumbai,Card,delivered
ORD-100137,CUST-1071,2024-04-13 11:36:54,Mumbai,Card,cancelled
ORD-100138,CUST-1059,2024-04-13 07:07:59,Delhi,Wallet,delivered
ORD-100139,CUST-1030,2024-04-13 20:41:05,Mumbai,UPI,delivered
ORD-100140,,2024-04-13 10:55:27,Mumbai,Wallet,delivered
ORD-100141,,2024-04-13 20:39:43,Mumbai,COD,cancelled
