region_code,order_date,daily_revenue,running_total
CENTRAL,2024-09-23,2216.07,2216.07
CENTRAL,2024-10-07,2169.35,4385.42
CENTRAL,2024-10-18,5345.76,9731.18
CENTRAL,2024-10-23,173.65,9904.83
CENTRAL,2024-10-28,786.24,10691.07
CENTRAL,2024-11-09,4439.82,15130.89
CENTRAL,2024-11-18,2103.81,17234.7
CENTRAL,2024-12-02,1475.0,18709.7
CENTRAL,2024-12-03,810.1,19519.8
CENTRAL,2024-12-10,2767.69,22287.49
CENTRAL,2024-12-26,-29.98,22257.51
CENTRAL,2024-12-30,231.41,22488.92
CENTRAL,2025-01-07,560.95,23049.87
CENTRAL,2025-01-11,548.7,23598.57
CENTRAL,2025-01-12,390.4,23988.97
CENTRAL,2025-01-14,392.73,24381.7
CENTRAL,2025-01-17,194.45,24576.15
CENTRAL,2025-01-19,111.13,24687.28
CENTRAL,2025-01-24,380.25,25067.53
CENTRAL,2025-01-25,2532.7,27600.23
CENTRAL,2025-01-29,134.56,27734.79
CENTRAL,2025-02-01,69.29,27804.08
CENTRAL,2025-02-02,-47.32,27756.76
CENTRAL,2025-02-04,192.66,27949.42
CENTRAL,2025-02-07,207.21,28156.63
CENTRAL,2025-02-16,1007.54,29164.17
CENTRAL,2025-02-18,3048.17,32212.34
CENTRAL,2025-02-19,287.05,32499.39
CENTRAL,2025-02-22,356.25,32855.64
CENTRAL,2025-02-28,1556.52,34412.16
CENTRAL,2025-03-05,640.55,35052.71
CENTRAL,2025-03-06,3529.25,38581.96
CENTRAL,2025-03-10,4764.32,43346.28
CENTRAL,2025-03-13,1090.95,44437.23
CENTRAL,2025-03-16,2306.0,46743.23
CENTRAL,2025-03-18,2536.49,49279.72
CENTRAL,2025-03-20,210.86,49490.58
CENTRAL,2025-03-26,542.43,50033.01
CENTRAL,2025-03-27,4790.42,54823.43
CENTRAL,2025-04-01,7588.46,62411.89
CENTRAL,2025-04-02,151.93,62563.82
CENTRAL,2025-04-04,1491.45,64055.27
CENTRAL,2025-04-07,3487.37,67542.64
CENTRAL,2025-04-08,432.22,67974.86
CENTRAL,2025-04-12,187.14,68162.0
CENTRAL,2025-04-20,896.69,69058.69
CENTRAL,2025-04-21,1421.28,70479.97
