category,product_name,total_revenue,rank_in_category
Books,Orbita Problem Set M515,6507.93,1
Books,Orbita Novel Q812,6318.22,2
Books,Solace Problem Set S551,3922.69,3
Books,Solace Short Stories Z619,3660.22,4
Books,Foxglove Casebook S170,3363.21,5
Books,Trident Activity Book L746,2529.12,6
Books,Halcyon Casebook X242,2370.93,7
Books,Orbita Picture Book X472,2228.48,8
Books,Foxglove Activity Book Z341,2173.01,9
Books,Pinegate Biography L852,2132.46,10
Books,Pinegate Picture Book S379,1811.84,11
Books,Northbay Field Guide S443,1741.03,12
Books,Vantage Essays Q105,1683.24,13
Books,Zephyr Casebook S408,1682.64,14
Books,Waypoint Problem Set X946,1404.67,15
Books,Waypoint Textbook M279,1345.67,16
Books,Solace Early Reader X475,1313.76,17
Books,Meridian Biography Z298,1264.8,18
Books,Meridian Casebook Z560,1242.43,19
Books,Trident Novel Z796,1055.71,20
Books,Orbita Textbook Z367,1052.63,21
Books,Halcyon Textbook M462,978.0,22
Books,Northbay Essays Q284,938.04,23
Books,Vantage Picture Book M407,853.36,24
Books,Everline Picture Book M678,849.93,25
Books,Halcyon Picture Book X364,817.43,26
Books,Vantage Anthology X770,813.26,27
Books,Lumen Activity Book S830,764.5,28
Books,Trident Textbook M459,719.92,29
Books,Kestrel Problem Set S847,710.24,30
Books,Arclight Picture Book S660,628.49,31
Books,Everline Activity Book Z470,607.58,32
Books,Pinegate Biography Z482,601.73,33
Books,Northbay Essays X685,589.86,34
Books,Kestrel Textbook M827,580.64,35
Books,Foxglove Early Reader S488,547.93,36
Books,Trident Picture Book S908,505.8,37
Books,Solace Essays Q561,494.22,38
Books,Zephyr Biography Z420,466.22,39
Books,Halcyon Short Stories L513,452.46,40
Books,Orbita Activity Book S617,450.06,41
Books,Northbay Early Reader X644,439.97,42
Books,Vantage Essays L419,439.51,43
Books,Cobalt Short Stories S603,434.55,44
Books,Foxglove Short Stories Z652,431.83,45
Books,Vantage Problem Set L711,395.52,46
Books,Trident Field Guide M522,391.34,47
Books,Umbra Field Guide Z132,376.59,48
Books,Halcyon Early Reader Z533,364.04,49
Books,Kestrel Anthology X246,361.31,50
Books,Foxglove Casebook S484,352.36,51
Books,Waypoint Essays M849,337.45,52
Books,Northbay Anthology L480,323.84,53
Books,Orbita Picture Book Q775,322.59,54
Books,Pinegate Short Stories Q758,297.61,55
Books,Lumen Biography Q444,292.76,56
Books,Arclight Essays L690,291.2,57
Books,Pinegate Biography M844,272.17,58
Books,Orbita Picture Book L719,267.73,59
Books,Solace Problem Set S134,260.26,60
Books,Foxglove Casebook S429,257.25,61
Books,Kestrel Casebook Q116,248.75,62
Books,Lumen Early Reader L607,243.35,63
Books,Meridian Short Stories X998,226.3,64
Books,Trident Textbook Q411,215.08,65
Books,Cobalt Problem Set X141,202.82,66
Books,Kestrel Activity Book X670,201.44,67
Books,Trident Anthology X635,198.25,68
Books,Everline Picture Book X500,195.42,69
Books,Riverstone Problem Set X123,181.18,70
Books,Cobalt Casebook Q844,176.31,71
Books,Riverstone Anthology L889,172.62,72
Books,Waypoint Casebook Z789,152.29,73
Books,Riverstone Activity Book S401,151.37,74
Books,Trident Essays Z739,141.79,75
Books,Zephyr Problem Set L658,137.34,76
Books,Riverstone Short Stories S702,126.62,77
Books,Everline Picture Book M503,125.24,78
Books,Arclight Novel S954,118.04,79
Books,Umbra Novel Z143,113.18,80
Books,Foxglove Problem Set Q929,112.0,81
Books,Orbita Activity Book S691,105.4,82
Books,Meridian Textbook Z209,94.32,83
Books,Northbay Field Guide S611,87.06,84
Books,Everline Field Guide M894,81.55,85
Books,Zephyr Essays Z317,78.54,86
Books,Zephyr Picture Book L325,75.0,87
Books,Trident Casebook L741,74.78,88
Books,Foxglove Textbook M293,72.78,89
Books,Foxglove Anthology L568,71.46,90
Books,Arclight Novel L322,66.77,91
Books,Riverstone Picture Book Z397,61.05,92
Books,Waypoint Casebook Z224,54.61,93
Books,Halcyon Essays Z765,52.73,94
Books,Pinegate Novel M936,51.13,95
Books,Halcyon Problem Set Q705,35.94,96
Books,Vantage Essays L925,27.31,97
Books,Foxglove Early Reader M455,18.34,98
Books,Cobalt Early Reader Z524,15.25,99
Books,Riverstone Short Stories M424,13.65,100
Books,Cobalt Early Reader X395,10.03,101
Books,Arclight Textbook S214,4.54,102
Books,Everline Short Stories X535,3.45,103
Books,Lumen Novel M195,-1.6,104
Books,Cobalt Novel L968,-105.61,105
Books,Everline Anthology L794,-121.46,106
Clothing,Kestrel Cardigan X972,54371.5,1
Clothing,Solace Wrap Dress Q623,39288.03,2
Clothing,Northbay Blouse L415,37596.64,3
Clothing,Umbra Shorts Z108,25304.6,4
Clothing,Solace Leggings X298,18607.74,5
Clothing,Umbra Oxford Shirt Q765,15963.5,6
Clothing,Zephyr Ankle Boots X668,14828.05,7
Clothing,Cobalt Oxford Shirt S235,14562.5,8
Clothing,Cobalt Overcoat X732,12743.88,9
Clothing,Kestrel Cardigan M313,9291.52,10
Clothing,Trident Sandals Q148,7055.77,11
Clothing,Orbita Knit Sweater L945,6905.9,12
Clothing,Umbra Tailored Trousers X861,6900.53,13
Clothing,Halcyon Chinos S776,6548.16,14
Clothing,Trident Tailored Trousers Z606,6259.78,15
Clothing,Waypoint Tailored Trousers M789,6052.33,16
Clothing,Riverstone Training Tee L449,5960.9,17
Clothing,Northbay Knit Sweater M636,5872.6,18
Clothing,Vantage Wrap Dress L769,5684.49,19
Clothing,Pinegate Sandals Q333,5148.23,20
Clothing,Solace Chinos Z972,4898.94,21
Clothing,Cobalt Knit Sweater M553,4575.68,22
Clothing,Riverstone Blouse S954,4129.69,23
Clothing,Trident Overcoat L776,3713.14,24
Clothing,Foxglove Training Tee L628,3581.04,25
Clothing,Arclight Leggings Z659,3505.51,26
Clothing,Lumen Oxford Shirt L709,3043.19,27
Clothing,Foxglove Blouse L963,2849.46,28
Clothing,Foxglove Leggings Q553,2840.5,29
Clothing,Trident Overcoat M597,2094.48,30
Clothing,Everline Ankle Boots S601,1921.19,31
Clothing,Waypoint Chinos L200,1911.84,32
Clothing,Pinegate Runners S506,1829.48,33
Clothing,Riverstone Tailored Trousers Q542,1782.65,34
Clothing,Everline Ankle Boots Z533,1692.5,35
Clothing,Solace Overcoat X415,1689.08,36
Clothing,Meridian Track Jacket X110,1537.16,37
Clothing,Arclight Blouse X779,1528.55,38
Clothing,Everline Training Tee S574,1516.48,39
Clothing,Solace Ankle Boots Z814,1500.12,40
Clothing,Northbay Wrap Dress M688,1371.43,41
Clothing,Pinegate Knit Sweater Q584,1287.15,42
Clothing,Waypoint Track Jacket Q925,1265.22,43
Clothing,Pinegate Knit Sweater L325,1256.81,44
Clothing,Foxglove Track Jacket Z141,1213.17,45
Clothing,Meridian Tailored Trousers L673,1191.85,46
Clothing,Orbita Track Jacket Z850,1191.47,47
Clothing,Meridian Ankle Boots Z220,1165.7,48
Clothing,Meridian Ankle Boots Q610,995.86,49
Clothing,Meridian Shorts S310,993.12,50
Clothing,Cobalt Blouse S771,950.99,51
Clothing,Foxglove Leggings M221,871.91,52
Clothing,Halcyon Chinos X579,822.96,53
Clothing,Foxglove Blouse Q806,816.67,54
Clothing,Cobalt Tailored Trousers Z727,810.26,55
Clothing,Halcyon Loafers Z304,758.94,56
Clothing,Foxglove Leggings Q853,752.98,57
Clothing,Orbita Runners M959,737.95,58
Clothing,Everline Leggings Q220,672.39,59
Clothing,Trident Knit Sweater Z717,654.02,60
Clothing,Orbita Knit Sweater X598,630.12,61
Clothing,Lumen Cardigan Z690,607.7,62
Clothing,Arclight Oxford Shirt M145,592.48,63
Clothing,Umbra Blouse Q110,584.27,64
Clothing,Everline Leggings S701,578.61,65
Clothing,Waypoint Training Tee Z638,566.32,66
Clothing,Waypoint Training Tee L251,560.89,67
Clothing,Northbay Leggings S287,557.33,68
Clothing,Lumen Runners S382,551.71,69
Clothing,Lumen Sandals S958,526.9,70
Clothing,Pinegate Leggings Q824,518.63,71
Clothing,Lumen Runners X792,493.39,72
Clothing,Meridian Cardigan Q689,468.33,73
Clothing,Umbra Knit Sweater X271,423.78,74
Clothing,Foxglove Overcoat S759,413.47,75
Clothing,Umbra Chinos Q907,411.77,76
Clothing,Riverstone Overcoat M843,411.64,77
Clothing,Halcyon Overcoat Q443,392.48,78
Clothing,Solace Knit Sweater S191,389.84,79
Clothing,Lumen Knit Sweater Q710,379.35,80
Clothing,Kestrel Leggings M888,378.18,81
Clothing,Vantage Blouse X535,375.58,82
Clothing,Northbay Track Jacket X886,351.7,83
Clothing,Solace Shorts M192,344.17,84
Clothing,Riverstone Oxford Shirt Q251,332.01,85
Clothing,Umbra Cardigan Z689,308.53,86
Clothing,Kestrel Overcoat X380,302.89,87
Clothing,Zephyr Runners L886,294.19,88
Clothing,Northbay Ankle Boots L646,293.95,89
Clothing,Lumen Runners S355,289.47,90
Clothing,Arclight Leggings M368,269.59,91
Clothing,Waypoint Overcoat Z409,257.38,92
Clothing,Waypoint Wrap Dress Q619,221.45,93
Clothing,Meridian Track Jacket Z748,214.74,94
Clothing,Meridian Loafers Z424,197.76,95
Clothing,Meridian Sandals Q401,184.4,96
Clothing,Umbra Knit Sweater Z794,182.62,97
Clothing,Orbita Shorts L621,179.74,98
Clothing,Everline Loafers M676,179.28,99
Clothing,Arclight Shorts S564,141.67,100
Clothing,Halcyon Overcoat Z198,120.14,101
Clothing,Foxglove Track Jacket S549,110.2,102
Clothing,Solace Wrap Dress L327,90.28,103
Clothing,Cobalt Chinos X352,82.67,104
Clothing,Halcyon Overcoat X713,73.76,105
Clothing,Umbra Training Tee L987,53.66,106
Clothing,Halcyon Cardigan Z432,52.77,107
Clothing,Trident Oxford Shirt X567,52.01,108
Clothing,Trident Ankle Boots S186,51.44,109
Clothing,Trident Cardigan Z870,38.04,110
Clothing,Arclight Tailored Trousers X249,36.94,111
Clothing,Lumen Knit Sweater Z968,16.89,112
Clothing,Halcyon Track Jacket Q954,-952.12,113
Electronics,Meridian Soundbar Z867,196309.95,1
Electronics,Waypoint Earbuds L652,107064.08,2
Electronics,Zephyr Camcorder Q499,100903.85,3
Electronics,Zephyr Workstation S297,96269.16,4
Electronics,Everline Earbuds X971,81562.75,5
Electronics,Umbra Notebook S120,78400.43,6
Electronics,Kestrel Speaker L878,71937.91,7
Electronics,Foxglove Action Cam M562,57793.12,8
Electronics,Trident Action Cam L723,56501.94,9
Electronics,Vantage Action Cam S592,54590.35,10
Electronics,Waypoint Ring Tracker X213,52615.32,11
Electronics,Trident Handset M572,51490.83,12
Electronics,Everline Phone M529,50106.38,13
Electronics,Orbita Camcorder X790,49010.85,14
Electronics,Vantage Ultrabook Q653,45313.12,15
Electronics,Umbra Handset L502,43537.85,16
Electronics,Vantage Action Cam S214,42130.13,17
Electronics,Northbay Fitness Band M647,41543.96,18
Electronics,Waypoint Ultrabook M295,37574.28,19
Electronics,Kestrel Camera M716,33897.77,20
Electronics,Trident Smartphone M189,32256.46,21
Electronics,Pinegate Ring Tracker Z296,29934.73,22
Electronics,Northbay Notebook S282,27412.57,23
Electronics,Halcyon Action Cam L743,27408.52,24
Electronics,Umbra Smartphone M244,26619.95,25
Electronics,Halcyon Handset S263,26190.23,26
Electronics,Pinegate Earbuds Q635,26084.1,27
Electronics,Meridian Ultrabook X208,25886.18,28
Electronics,Zephyr Smartwatch X898,25368.54,29
Electronics,Zephyr Camera S760,24638.72,30
Electronics,Pinegate Ultrabook L357,24055.14,31
Electronics,Cobalt Soundbar S735,23167.32,32
Electronics,Riverstone Ring Tracker Z613,22659.12,33
Electronics,Cobalt Workstation L196,21167.48,34
Electronics,Umbra Workstation Q133,21082.17,35
Electronics,Solace Headphones M639,20531.51,36
