year,month,revenue,prev_year_revenue,yoy_growth_percent
2024,8,117.18,,
2024,9,23387.58,,
2024,10,29661.37,,
2024,11,32848.66,,
2024,12,37186.47,,
2025,1,51281.67,,
2025,2,49281.53,,
2025,3,74444.25,,
2025,4,87343.41,,
2025,5,111584.93,,
2025,6,104418.61,,
2025,7,119708.34,,
2025,8,134750.94,117.18,114894.83
2025,9,153599.25,23387.58,556.76
2025,10,169089.25,29661.37,470.07
2025,11,217207.48,32848.66,561.24
2025,12,248086.04,37186.47,567.14
2026,1,248732.26,51281.67,385.03
2026,2,264530.63,49281.53,436.77
2026,3,358722.11,74444.25,381.87
2026,4,334916.07,87343.41,283.45
2026,5,372917.39,111584.93,234.2
2026,6,420629.7,104418.61,302.83
2026,7,421265.94,119708.34,251.91
2026,8,24078.72,134750.94,-82.13
