customer_id,first_category,latest_category,category_shift
CUST00001,Books,Clothing,Yes
CUST00002,Electronics,Clothing,Yes
CUST00004,Electronics,Electronics,No
CUST00005,Electronics,Clothing,Yes
CUST00007,Electronics,Electronics,No
CUST00008,Electronics,Books,Yes
CUST00009,Books,Home,Yes
CUST00010,Home,Home,No
CUST00011,Clothing,Clothing,No
CUST00012,Books,Home,Yes
CUST00013,Clothing,Books,Yes
CUST00014,Home,Books,Yes
CUST00015,Books,Home,Yes
CUST00016,Electronics,Home,Yes
CUST00017,Electronics,Home,Yes
CUST00018,Electronics,Home,Yes
CUST00019,Clothing,Books,Yes
CUST00020,Electronics,Electronics,No
CUST00021,Books,Electronics,Yes
CUST00022,Home,Electronics,Yes
CUST00023,Home,Home,No
CUST00024,Books,Clothing,Yes
CUST00025,Books,Clothing,Yes
CUST00026,Books,Clothing,Yes
CUST00027,Electronics,Clothing,Yes
CUST00028,Home,Electronics,Yes
CUST00030,Home,Books,Yes
CUST00031,Electronics,Electronics,No
CUST00032,Home,Electronics,Yes
CUST00033,Books,Books,No
CUST00034,Books,Home,Yes
CUST00035,Books,Home,Yes
CUST00036,Books,Home,Yes
CUST00037,Home,Home,No
CUST00038,Electronics,Home,Yes
CUST00039,Electronics,Home,Yes
CUST00040,Home,Electronics,Yes
CUST00041,Electronics,Clothing,Yes
CUST00042,Home,Books,Yes
CUST00044,Clothing,Clothing,No
CUST00045,Electronics,Books,Yes
CUST00046,Books,Books,No
CUST00047,Clothing,Electronics,Yes
CUST00048,Books,Home,Yes
CUST00049,Home,Clothing,Yes
CUST00050,Clothing,Books,Yes
CUST00051,Electronics,Books,Yes
CUST00052,Electronics,Electronics,No
CUST00053,Home,Electronics,Yes
CUST00054,Clothing,Books,Yes
CUST00055,Books,Clothing,Yes
CUST00056,Home,Electronics,Yes
CUST00057,Electronics,Clothing,Yes
CUST00058,Clothing,Books,Yes
CUST00059,Electronics,Home,Yes
CUST00060,Clothing,Home,Yes
CUST00061,Home,Home,No
CUST00062,Clothing,Clothing,No
CUST00063,Clothing,Books,Yes
CUST00064,Home,Books,Yes
CUST00065,Clothing,Clothing,No
CUST00066,Electronics,Electronics,No
CUST00067,Clothing,Books,Yes
CUST00068,Electronics,Clothing,Yes
CUST00069,Books,Electronics,Yes
CUST00070,Books,Clothing,Yes
CUST00072,Home,Home,No
CUST00073,Electronics,Electronics,No
CUST00074,Electronics,Clothing,Yes
CUST00075,Books,Electronics,Yes
CUST00076,Clothing,Books,Yes
CUST00078,Home,Clothing,Yes
CUST00079,Electronics,Home,Yes
CUST00080,Books,Clothing,Yes
CUST00083,Books,Clothing,Yes
CUST00084,Electronics,Clothing,Yes
CUST00086,Electronics,Books,Yes
CUST00087,Electronics,Clothing,Yes
CUST00088,Home,Books,Yes
CUST00089,Electronics,Clothing,Yes
CUST00091,Clothing,Clothing,No
CUST00093,Books,Clothing,Yes
CUST00096,Clothing,Books,Yes
CUST00097,Electronics,Home,Yes
CUST00098,Books,Home,Yes
CUST00099,Clothing,Home,Yes
CUST00101,Electronics,Clothing,Yes
CUST00102,Clothing,Clothing,No
CUST00103,Clothing,Clothing,No
CUST00104,Electronics,Home,Yes
CUST00105,Home,Electronics,Yes
CUST00106,Home,Home,No
CUST00107,Electronics,Clothing,Yes
CUST00108,Books,Books,No
CUST00109,Clothing,Electronics,Yes
CUST00110,Electronics,Clothing,Yes
CUST00111,Clothing,Books,Yes
CUST00112,Electronics,Clothing,Yes
CUST00113,Clothing,Electronics,Yes
CUST00114,Electronics,Books,Yes
CUST00116,Books,Electronics,Yes
CUST00117,Electronics,Home,Yes
CUST00118,Electronics,Electronics,No
CUST00119,Clothing,Home,Yes
CUST00120,Home,Clothing,Yes
CUST00121,Books,Clothing,Yes
CUST00122,Clothing,Clothing,No
CUST00124,Home,Books,Yes
CUST00125,Home,Home,No
CUST00126,Home,Clothing,Yes
CUST00127,Electronics,Books,Yes
CUST00128,Electronics,Electronics,No
CUST00129,Books,Electronics,Yes
CUST00130,Books,Home,Yes
CUST00131,Home,Home,No
CUST00132,Clothing,Clothing,No
CUST00133,Clothing,Electronics,Yes
CUST00135,Home,Clothing,Yes
CUST00137,Home,Books,Yes
CUST00138,Books,Home,Yes
