customer_id,revenue_rank,revenue,cumulative_revenue,cumulative_percent,top_percent_of_customers
CUST00206,1,37188.14,37188.14,0.95,0.14
CUST00588,2,30424.8,67612.94,1.73,0.29
CUST00665,3,28973.08,96586.02,2.47,0.43
CUST00541,4,24746.59,121332.61,3.1,0.58
CUST00514,5,24193.49,145526.1,3.72,0.72
CUST00170,6,23244.98,168771.08,4.32,0.86
CUST00570,7,23167.48,191938.56,4.91,1.01
CUST00269,8,22870.0,214808.56,5.5,1.15
CUST00499,9,22543.1,237351.66,6.07,1.29
CUST00792,10,22387.61,259739.27,6.65,1.44
CUST00615,11,21870.2,281609.47,7.2,1.58
CUST00059,12,20638.85,302248.32,7.73,1.73
CUST00610,13,20259.03,322507.35,8.25,1.87
CUST00048,14,19686.5,342193.85,8.75,2.01
CUST00673,15,19024.98,361218.83,9.24,2.16
CUST00411,16,18790.88,380009.71,9.72,2.3
CUST00661,17,18766.22,398775.93,10.2,2.45
CUST00605,18,17606.27,416382.2,10.65,2.59
CUST00430,19,17580.32,433962.52,11.1,2.73
CUST00011,20,17075.56,451038.08,11.54,2.88
CUST00167,21,16999.36,468037.44,11.97,3.02
CUST00365,22,16968.9,485006.34,12.41,3.17
CUST00770,23,16503.1,501509.44,12.83,3.31
CUST00613,24,16492.06,518001.5,13.25,3.45
CUST00315,25,16110.7,534112.2,13.66,3.6
CUST00423,26,16063.2,550175.4,14.08,3.74
CUST00190,27,15885.32,566060.72,14.48,3.88
CUST00138,28,15850.67,581911.39,14.89,4.03
CUST00424,29,15595.66,597507.05,15.29,4.17
CUST00735,30,15488.35,612995.4,15.68,4.32
CUST00691,31,15457.67,628453.07,16.08,4.46
CUST00010,32,15369.54,643822.61,16.47,4.6
CUST00018,33,15185.74,659008.35,16.86,4.75
CUST00389,34,15148.18,674156.53,17.25,4.89
CUST00799,35,15107.42,689263.95,17.63,5.04
CUST00301,36,15096.9,704360.85,18.02,5.18
CUST00544,37,15002.7,719363.55,18.4,5.32
CUST00257,38,14900.35,734263.9,18.79,5.47
CUST00658,39,14883.26,749147.16,19.17,5.61
CUST00230,40,14843.26,763990.42,19.55,5.76
CUST00383,41,14768.19,778758.61,19.92,5.9
CUST00039,42,14721.54,793480.15,20.3,6.04
CUST00372,43,14712.52,808192.67,20.68,6.19
CUST00550,44,14695.16,822887.83,21.05,6.33
CUST00364,45,14666.63,837554.46,21.43,6.47
CUST00668,46,14654.31,852208.77,21.8,6.62
CUST00110,47,14488.09,866696.86,22.17,6.76
CUST00603,48,14458.08,881154.94,22.54,6.91
CUST00754,49,14385.28,895540.22,22.91,7.05
CUST00574,50,14323.45,909863.67,23.28,7.19
CUST00797,51,14290.43,924154.1,23.64,7.34
CUST00648,52,14111.82,938265.92,24.0,7.48
CUST00749,53,14066.43,952332.35,24.36,7.63
CUST00469,54,14007.28,966339.63,24.72,7.77
CUST00693,55,13978.47,980318.1,25.08,7.91
CUST00347,56,13960.04,994278.14,25.44,8.06
CUST00022,57,13767.99,1008046.13,25.79,8.2
CUST00145,58,13655.39,1021701.52,26.14,8.35
CUST00674,59,13590.04,1035291.56,26.49,8.49
CUST00503,60,13418.17,1048709.73,26.83,8.63
CUST00182,61,13296.37,1062006.1,27.17,8.78
CUST00161,62,13169.1,1075175.2,27.51,8.92
CUST00307,63,13060.24,1088235.44,27.84,9.06
CUST00041,64,12951.89,1101187.33,28.17,9.21
CUST00777,65,12946.39,1114133.72,28.5,9.35
CUST00263,66,12933.14,1127066.86,28.83,9.5
CUST00341,67,12890.75,1139957.61,29.16,9.64
CUST00178,68,12852.34,1152809.95,29.49,9.78
CUST00501,69,12778.14,1165588.09,29.82,9.93
CUST00311,70,12668.56,1178256.65,30.14,10.07
CUST00109,71,12574.28,1190830.93,30.47,10.22
CUST00255,72,12427.13,1203258.06,30.78,10.36
CUST00509,73,12306.01,1215564.07,31.1,10.5
CUST00340,74,12049.27,1227613.34,31.41,10.65
CUST00164,75,11989.25,1239602.59,31.71,10.79
CUST00704,76,11894.65,1251497.24,32.02,10.94
CUST00553,77,11792.4,1263289.64,32.32,11.08
CUST00581,78,11725.9,1275015.54,32.62,11.22
CUST00355,79,11691.59,1286707.13,32.92,11.37
CUST00759,80,11660.26,1298367.39,33.22,11.51
CUST00708,81,11589.28,1309956.67,33.51,11.65
CUST00068,82,11509.46,1321466.13,33.81,11.8
CUST00204,83,11495.68,1332961.81,34.1,11.94
CUST00609,84,11461.15,1344422.96,34.4,12.09
CUST00358,85,11394.99,1355817.95,34.69,12.23
CUST00337,86,11323.77,1367141.72,34.98,12.37
CUST00447,87,11263.79,1378405.51,35.26,12.52
CUST00030,88,11094.35,1389499.86,35.55,12.66
CUST00035,89,11073.21,1400573.07,35.83,12.81
CUST00730,90,10934.91,1411507.98,36.11,12.95
CUST00056,91,10908.42,1422416.4,36.39,13.09
CUST00700,92,10810.24,1433226.64,36.67,13.24
CUST00267,93,10689.63,1443916.27,36.94,13.38
CUST00266,94,10664.77,1454581.04,37.21,13.53
CUST00380,95,10583.39,1465164.43,37.48,13.67
CUST00284,96,10470.66,1475635.09,37.75,13.81
CUST00086,97,10462.97,1486098.06,38.02,13.96
CUST00534,98,10360.29,1496458.35,38.29,14.1
CUST00568,99,10360.15,1506818.5,38.55,14.24
CUST00604,100,10349.05,1517167.55,38.81,14.39
CUST00428,101,10327.81,1527495.36,39.08,14.53
CUST00747,102,10236.25,1537731.61,39.34,14.68
CUST00309,103,10195.45,1547927.06,39.6,14.82
CUST00638,104,10193.11,1558120.17,39.86,14.96
CUST00617,105,10126.59,1568246.76,40.12,15.11
CUST00351,106,10101.72,1578348.48,40.38,15.25
CUST00366,107,10030.55,1588379.03,40.64,15.4
CUST00324,108,9971.43,1598350.46,40.89,15.54
CUST00681,109,9969.8,1608320.26,41.15,15.68
CUST00798,110,9862.97,1618183.23,41.4,15.83
CUST00452,111,9775.2,1627958.43,41.65,15.97
CUST00599,112,9762.62,1637721.05,41.9,16.12
CUST00775,113,9738.36,1647459.41,42.15,16.26
CUST00476,114,9675.24,1657134.65,42.4,16.4
CUST00502,115,9596.44,1666731.09,42.64,16.55
CUST00023,116,9559.48,1676290.57,42.89,16.69
CUST00438,117,9551.63,1685842.2,43.13,16.83
CUST00272,118,9536.12,1695378.32,43.37,16.98
CUST00533,119,9531.82,1704910.14,43.62,17.12
CUST00034,120,9509.45,1714419.59,43.86,17.27
CUST00073,121,9499.07,1723918.66,44.1,17.41
CUST00187,122,9495.34,1733414.0,44.35,17.55
CUST00614,123,9302.1,1742716.1,44.59,17.7
CUST00271,124,9280.7,1751996.8,44.82,17.84
CUST00154,125,9240.95,1761237.75,45.06,17.99
CUST00622,126,9223.03,1770460.78,45.3,18.13
CUST00561,127,9195.91,1779656.69,45.53,18.27
CUST00113,128,9166.26,1788822.95,45.76,18.42
CUST00786,129,9163.72,1797986.67,46.0,18.56
CUST00460,130,9109.2,1807095.87,46.23,18.71
CUST00067,131,9107.09,1816202.96,46.47,18.85
CUST00495,132,9089.31,1825292.27,46.7,18.99
CUST00276,133,9067.84,1834360.11,46.93,19.14
CUST00592,134,9067.79,1843427.9,47.16,19.28
CUST00517,135,9045.77,1852473.67,47.39,19.42
CUST00419,136,9040.84,1861514.51,47.62,19.57
CUST00676,137,9021.78,1870536.29,47.86,19.71
CUST00401,138,9019.79,1879556.08,48.09,19.86
CUST00437,139,8987.53,1888543.61,48.32,20.0
CUST00342,140,8973.73,1897517.34,48.55,20.14
CUST00185,141,8968.96,1906486.3,48.78,20.29
CUST00032,142,8848.67,1915334.97,49.0,20.43
CUST00745,143,8829.86,1924164.83,49.23,20.58
CUST00636,144,8802.07,1932966.9,49.45,20.72
CUST00625,145,8771.77,1941738.67,49.68,20.86
CUST00323,146,8767.17,1950505.84,49.9,21.01
CUST00596,147,8761.88,1959267.72,50.13,21.15
CUST00554,148,8716.99,1967984.71,50.35,21.29
CUST00050,149,8705.28,1976689.99,50.57,21.44
CUST00344,150,8696.45,1985386.44,50.79,21.58
CUST00007,151,8550.27,1993936.71,51.01,21.73
CUST00028,152,8542.24,2002478.95,51.23,21.87
CUST00260,153,8536.29,2011015.24,51.45,22.01
CUST00184,154,8524.0,2019539.24,51.67,22.16
CUST00370,155,8506.01,2028045.25,51.89,22.3
CUST00327,156,8458.05,2036503.3,52.1,22.45
CUST00126,157,8450.66,2044953.96,52.32,22.59
CUST00052,158,8440.93,2053394.89,52.53,22.73
CUST00058,159,8378.13,2061773.02,52.75,22.88
CUST00368,160,8332.05,2070105.07,52.96,23.02
CUST00114,161,8275.7,2078380.77,53.17,23.17
CUST00147,162,8268.8,2086649.57,53.38,23.31
CUST00723,163,8207.62,2094857.19,53.59,23.45
CUST00586,164,8183.79,2103040.98,53.8,23.6
CUST00585,165,8080.59,2111121.57,54.01,23.74
CUST00244,166,8067.94,2119189.51,54.22,23.88
CUST00385,167,7985.64,2127175.15,54.42,24.03
CUST00128,168,7962.97,2135138.12,54.62,24.17
CUST00464,169,7911.66,2143049.78,54.83,24.32
CUST00716,170,7889.65,2150939.43,55.03,24.46
CUST00009,171,7852.35,2158791.78,55.23,24.6
CUST00332,172,7825.45,2166617.23,55.43,24.75
CUST00279,173,7808.38,2174425.61,55.63,24.89
CUST00487,174,7797.53,2182223.14,55.83,25.04
CUST00627,175,7785.31,2190008.45,56.03,25.18
CUST00242,176,7780.83,2197789.28,56.23,25.32
CUST00692,177,7778.7,2205567.98,56.43,25.47
CUST00689,178,7729.75,2213297.73,56.62,25.61
CUST00594,179,7707.34,2221005.07,56.82,25.76
CUST00566,180,7690.46,2228695.53,57.02,25.9
CUST00163,181,7686.67,2236382.2,57.22,26.04
CUST00441,182,7673.45,2244055.65,57.41,26.19
CUST00051,183,7600.49,2251656.14,57.61,26.33
CUST00356,184,7589.98,2259246.12,57.8,26.47
CUST00060,185,7555.66,2266801.78,57.99,26.62
CUST00319,186,7491.56,2274293.34,58.18,26.76
CUST00601,187,7476.73,2281770.07,58.38,26.91
CUST00066,188,7473.88,2289243.95,58.57,27.05
CUST00649,189,7461.68,2296705.63,58.76,27.19
CUST00354,190,7413.31,2304118.94,58.95,27.34
CUST00556,191,7388.51,2311507.45,59.14,27.48
CUST00395,192,7354.41,2318861.86,59.33,27.63
CUST00409,193,7352.5,2326214.36,59.51,27.77
CUST00345,194,7275.47,2333489.83,59.7,27.91
CUST00205,195,7268.17,2340758.0,59.89,28.06
CUST00202,196,7240.36,2347998.36,60.07,28.2
CUST00198,197,7184.47,2355182.83,60.25,28.35
CUST00183,198,7132.33,2362315.16,60.44,28.49
CUST00633,199,7120.16,2369435.32,60.62,28.63
CUST00687,200,7113.97,2376549.29,60.8,28.78
CUST00162,201,7058.51,2383607.8,60.98,28.92
CUST00367,202,7037.11,2390644.91,61.16,29.06
CUST00563,203,7023.8,2397668.71,61.34,29.21
CUST00426,204,6933.82,2404602.53,61.52,29.35
CUST00496,205,6928.81,2411531.34,61.7,29.5
CUST00647,206,6884.61,2418415.95,61.87,29.64
CUST00512,207,6884.23,2425300.18,62.05,29.78
CUST00118,208,6868.24,2432168.42,62.22,29.93
CUST00357,209,6820.26,2438988.68,62.4,30.07
CUST00493,210,6817.95,2445806.63,62.57,30.22
CUST00578,211,6809.81,2452616.44,62.75,30.36
CUST00416,212,6794.95,2459411.39,62.92,30.5
CUST00764,213,6780.61,2466192.0,63.09,30.65
CUST00196,214,6777.81,2472969.81,63.27,30.79
CUST00228,215,6768.7,2479738.51,63.44,30.94
CUST00513,216,6740.94,2486479.45,63.61,31.08
CUST00037,217,6711.36,2493190.81,63.79,31.22
CUST00181,218,6686.59,2499877.4,63.96,31.37
CUST00629,219,6675.16,2506552.56,64.13,31.51
CUST00278,220,6655.17,2513207.73,64.3,31.65
CUST00374,221,6574.14,2519781.87,64.47,31.8
CUST00264,222,6566.08,2526347.95,64.63,31.94
CUST00508,223,6557.39,2532905.34,64.8,32.09
CUST00371,224,6544.21,2539449.55,64.97,32.23
CUST00226,225,6528.28,2545977.83,65.14,32.37
CUST00193,226,6496.92,2552474.75,65.3,32.52
CUST00336,227,6493.18,2558967.93,65.47,32.66
CUST00453,228,6462.53,2565430.46,65.63,32.81
CUST00671,229,6447.97,2571878.43,65.8,32.95
CUST00558,230,6423.86,2578302.29,65.96,33.09
CUST00571,231,6414.53,2584716.82,66.13,33.24
CUST00166,232,6399.49,2591116.31,66.29,33.38
CUST00343,233,6291.28,2597407.59,66.45,33.53
CUST00435,234,6290.95,2603698.54,66.61,33.67
CUST00013,235,6257.41,2609955.95,66.77,33.81
CUST00097,236,6235.53,2616191.48,66.93,33.96
CUST00287,237,6234.24,2622425.72,67.09,34.1
CUST00001,238,6220.86,2628646.58,67.25,34.24
CUST00439,239,6217.18,2634863.76,67.41,34.39
CUST00485,240,6209.65,2641073.41,67.57,34.53
CUST00362,241,6193.21,2647266.62,67.73,34.68
CUST00328,242,6190.81,2653457.43,67.89,34.82
CUST00562,243,6174.42,2659631.85,68.04,34.96
CUST00135,244,6151.0,2665782.85,68.2,35.11
CUST00479,245,6149.95,2671932.8,68.36,35.25
CUST00040,246,6144.63,2678077.43,68.52,35.4
CUST00746,247,6129.97,2684207.4,68.67,35.54
CUST00577,248,6116.31,2690323.71,68.83,35.68
CUST00057,249,6083.93,2696407.64,68.98,35.83
CUST00584,250,6057.66,2702465.3,69.14,35.97
CUST00088,251,6048.23,2708513.53,69.29,36.12
CUST00756,252,6041.09,2714554.62,69.45,36.26
CUST00398,253,6031.87,2720586.49,69.6,36.4
