cohort_month,cohort_size,month_0,month_1,month_2,month_3,retention_month_1_percent,retention_month_3_percent
2024-08,30,1,10,15,12,33.3,40.0
2024-09,41,5,5,9,6,12.2,14.6
2024-10,36,5,10,7,9,27.8,25.0
2024-11,39,2,5,2,5,12.8,12.8
2024-12,42,10,15,9,19,35.7,45.2
2025-01,37,9,9,11,9,24.3,24.3
2025-02,29,3,7,5,11,24.1,37.9
2025-03,37,6,3,9,6,8.1,16.2
2025-04,43,3,12,8,11,27.9,25.6
2025-05,44,4,11,20,12,25.0,27.3
2025-06,36,7,7,9,9,19.4,25.0
2025-07,39,11,10,12,9,25.6,23.1
2025-08,46,10,18,9,17,39.1,37.0
2025-09,31,5,11,10,10,35.5,32.3
2025-10,38,6,17,15,17,44.7,44.7
2025-11,46,9,21,19,18,45.7,39.1
2025-12,43,15,20,14,19,46.5,44.2
2026-01,42,9,22,27,19,52.4,45.2
2026-02,34,12,27,20,21,79.4,61.8
2026-03,37,14,22,21,21,59.5,56.8
2026-04,27,13,20,21,17,74.1,63.0
2026-05,3,1,2,2,0,66.7,0.0
