row_id,order_id,customer_id,sales
2698,CA-2014-145317,SM-20320,22638.48
6827,CA-2016-118689,TC-20980,17499.95
8154,CA-2017-140151,RB-19360,13999.96
2624,CA-2017-127180,TA-21385,11199.97
4191,CA-2017-166709,HL-15040,10499.97
9040,CA-2016-117121,AB-10105,9892.74
4099,CA-2014-116904,SC-20095,9449.95
4278,US-2016-107440,BS-11365,9099.93
8489,CA-2016-158841,SE-20110,8749.95
6426,CA-2016-143714,CC-12370,8399.98
2506,CA-2014-143917,KL-16645,8187.65
166,CA-2014-139892,BM-11140,8159.95
684,US-2017-168116,GT-14635,7999.98
6627,CA-2014-145541,TB-21400,6999.96
510,CA-2015-145352,CM-12385,6354.95
6521,CA-2017-138289,AR-10540,5443.96
7667,US-2016-140158,DR-12940,5399.91
6341,CA-2017-143112,TS-21370,5199.96
8859,CA-2017-135909,JW-15220,5083.96
5885,CA-2016-136301,EH-13765,4912.59
1086,US-2016-143819,KD-16270,4899.93
8991,US-2015-128587,HM-14860,4899.93
4219,CA-2017-149881,NC-18535,4799.98
1804,CA-2017-158379,JA-15970,4663.74
8205,CA-2015-114811,KD-16495,4643.8
2493,CA-2014-144624,JM-15865,4548.81
7819,CA-2016-138478,DP-13390,4535.98
7773,CA-2016-108196,CS-12505,4499.99
9166,CA-2016-100300,MJ-17740,4476.8
7244,CA-2017-118892,TP-21415,4416.17
9742,CA-2015-117086,QJ-19255,4404.9
4298,CA-2017-129021,PO-18850,4367.9
354,CA-2016-129714,AB-10060,4355.17
9271,US-2017-102183,PK-19075,4305.55
9640,CA-2015-116638,JH-15985,4297.64
5918,US-2015-126977,PF-19120,4228.7
3281,CA-2014-102988,GM-14695,4164.05
6621,US-2017-167402,CP-12085,4164.05
6015,CA-2016-159016,KF-16285,4158.91
6536,CA-2014-128209,GT-14710,4007.84
2183,CA-2016-128818,CJ-12010,3999.95
319,CA-2014-164973,NM-18445,3991.98
5199,CA-2016-103982,AA-10315,3930.07
7684,CA-2015-120782,SD-20485,3812.97
9426,CA-2014-116246,LW-17215,3785.29
1247,CA-2014-168494,NP-18700,3610.85
5171,CA-2016-122903,LA-16780,3504.9
7584,CA-2014-163223,KH-16690,3499.93
9650,CA-2016-107104,MS-17365,3406.66
7915,CA-2017-165323,SR-20740,3404.5
9858,CA-2015-164301,EB-13840,3393.68
3274,CA-2017-133865,PS-19045,3359.95
8101,CA-2016-169663,RH-19510,3357.6
252,CA-2016-145625,KC-16540,3347.37
6818,CA-2014-144414,GH-14425,3266.38
1645,CA-2015-111829,FH-14365,3149.93
28,US-2015-150630,TB-21520,3083.43
