customer_id,order_id,row_id,sales,line_no
AA-10315,CA-2016-103982,5199,3930.07,1
AA-10315,CA-2014-128055,2230,673.57,2
AA-10315,CA-2016-103982,5201,431.98,3
AA-10315,CA-2017-147039,1160,362.94,4
AA-10315,CA-2014-128055,2231,52.98,5
AA-10315,CA-2016-103982,5202,41.72,6
AA-10315,CA-2015-121391,1300,26.96,7
AA-10315,CA-2014-138100,7469,14.94,8
AA-10315,CA-2014-138100,7470,14.56,9
AA-10315,CA-2017-147039,1161,11.54,10
AA-10315,CA-2016-103982,5200,2.3,11
AA-10375,CA-2016-131065,2264,499.98,1
AA-10375,CA-2015-140921,809,149.97,2
AA-10375,CA-2017-100230,6750,116.98,3
AA-10375,CA-2015-114503,6466,84.96,4
AA-10375,US-2017-169488,9540,39.96,5
AA-10375,CA-2014-130729,3008,34.27,6
AA-10375,CA-2015-140921,808,28.4,7
AA-10375,CA-2017-100230,6749,17.94,8
AA-10375,US-2017-169488,9539,16.9,9
AA-10375,CA-2016-126613,536,16.77,10
AA-10375,CA-2014-158064,1173,16.52,11
AA-10375,CA-2017-100230,6748,14.95,12
AA-10375,CA-2016-131065,2266,8.26,13
AA-10375,CA-2016-131065,2265,5.28,14
AA-10375,CA-2015-109939,1979,5.25,15
AA-10480,CA-2016-114601,7706,479.97,1
AA-10480,CA-2016-114601,7705,447.84,2
AA-10480,CA-2016-121671,3112,265.17,3
AA-10480,CA-2016-121671,3109,242.94,4
AA-10480,CA-2016-114601,7704,209.97,5
AA-10480,CA-2016-121671,3111,51.84,6
AA-10480,CA-2014-155271,1460,27.46,7
AA-10480,CA-2016-121671,3108,21.93,8
AA-10480,CA-2017-114412,13,15.55,9
AA-10480,CA-2016-114601,7703,11.56,10
AA-10480,CA-2016-114601,7707,8.64,11
AA-10480,CA-2016-121671,3110,7.64,12
AA-10645,CA-2015-110863,8010,1323.9,1
AA-10645,CA-2016-147137,4454,1279.17,2
AA-10645,CA-2014-154963,4023,853.93,3
AA-10645,CA-2015-110863,8008,541.24,4
AA-10645,CA-2014-143210,8004,271.9,5
AA-10645,CA-2014-154963,4021,170.06,6
AA-10645,CA-2016-131205,6039,129.92,7
AA-10645,CA-2016-131205,6038,113.94,8
AA-10645,CA-2015-110863,8009,106.32,9
AA-10645,CA-2014-154963,4022,82.78,10
AA-10645,CA-2014-143210,8005,45.84,11
AA-10645,CA-2016-147137,4453,43.96,12
AA-10645,CA-2016-131205,6037,42.6,13
AA-10645,CA-2016-147137,4455,27.92,14
AA-10645,CA-2016-147137,4452,25.4,15
AA-10645,CA-2017-157196,7490,12.96,16
AA-10645,CA-2014-143210,8006,9.82,17
AA-10645,CA-2016-131205,6040,5.28,18
AB-10015,CA-2016-140935,8803,341.96,1
AB-10015,CA-2014-156587,4964,242.94,2
AB-10015,CA-2016-140935,8802,221.98,3
AB-10015,CA-2014-156587,4962,48.71,4
AB-10015,CA-2014-156587,4963,17.94,5
AB-10015,CA-2014-152905,8223,12.62,6
AB-10060,CA-2016-129714,354,4355.17,1
AB-10060,CA-2017-107174,8169,2036.86,2
AB-10060,CA-2017-107174,8170,449.57,3
AB-10060,CA-2017-118213,9499,167.94,4
AB-10060,US-2016-108637,2365,160.32,5
AB-10060,US-2016-108637,2364,127.88,6
AB-10060,CA-2017-107174,8171,108.96,7
AB-10060,CA-2017-159688,5001,79.99,8
AB-10060,CA-2017-118213,9500,67.8,9
AB-10060,CA-2016-129714,353,49.12,10
AB-10060,US-2016-108637,2366,46.0,11
AB-10060,CA-2016-161207,1176,27.93,12
AB-10060,CA-2016-129714,351,24.56,13
AB-10060,CA-2017-134173,3034,20.74,14
AB-10060,CA-2015-150511,5051,18.54,15
AB-10060,CA-2016-129714,350,6.79,16
AB-10060,CA-2017-118213,9498,4.41,17
AB-10060,CA-2016-129714,352,3.05,18
AB-10105,CA-2016-117121,9040,9892.74,1
AB-10105,CA-2014-103100,4284,1103.97,2
AB-10105,CA-2017-101042,2552,821.88,3
AB-10105,CA-2017-153822,6973,471.92,4
AB-10105,CA-2017-126788,3912,470.38,5
AB-10105,US-2016-122245,1410,393.17,6
AB-10105,CA-2017-121643,4715,344.7,7
AB-10105,CA-2015-163181,9107,287.91,8
AB-10105,CA-2015-163181,9106,177.65,9
AB-10105,CA-2016-147431,5614,117.96,10
AB-10105,CA-2017-153822,6972,89.58,11
AB-10105,CA-2015-163181,9103,84.78,12
AB-10105,CA-2015-163181,9104,64.96,13
AB-10105,CA-2017-140781,9208,39.82,14
AB-10105,CA-2015-163181,9105,32.06,15
AB-10105,CA-2015-163181,9102,23.64,16
AB-10105,CA-2017-101042,2553,21.96,17
AB-10105,CA-2017-153822,6974,18.18,18
AB-10105,CA-2017-153822,6971,12.62,19
AB-10105,CA-2014-103100,4283,3.69,20
AB-10150,CA-2014-169061,8498,479.97,1
AB-10150,CA-2017-158876,1600,99.14,2
AB-10150,CA-2014-169061,8501,97.82,3
AB-10150,CA-2017-120761,1556,91.96,4
AB-10150,CA-2014-169061,8497,59.52,5
AB-10150,CA-2014-169061,8500,49.63,6
AB-10150,CA-2014-169061,8499,18.62,7
AB-10150,CA-2017-158876,1598,16.9,8
AB-10150,CA-2017-158876,1601,15.99,9
AB-10150,CA-2016-147970,5114,15.55,10
AB-10150,CA-2015-168186,2631,14.94,11
AB-10150,CA-2017-158876,1599,6.67,12
AB-10165,CA-2015-115945,4317,304.23,1
AB-10165,CA-2015-131534,693,166.24,2
AB-10165,CA-2017-145737,6133,163.96,3
AB-10165,CA-2017-126634,8665,94.2,4
AB-10165,CA-2017-144932,931,89.86,5
AB-10165,CA-2015-115945,4316,88.75,6
AB-10165,CA-2015-144043,8465,46.69,7
AB-10165,US-2014-139500,5304,37.3,8
AB-10165,CA-2015-131534,694,33.4,9
AB-10165,CA-2017-131212,3434,24.82,10
AB-10165,CA-2015-115945,4315,20.96,11
AB-10165,CA-2017-131212,3435,14.98,12
AB-10165,CA-2017-144932,930,14.59,13
AB-10165,CA-2017-144932,932,13.87,14
AB-10255,CA-2017-126662,4573,479.98,1
AB-10255,CA-2017-155873,2708,192.16,2
AB-10255,CA-2015-142055,5528,37.94,3
AB-10255,CA-2015-110093,3614,36.78,4
AB-10255,CA-2017-127705,1332,27.44,5
AB-10255,CA-2014-122679,9484,19.68,6
AB-10255,CA-2017-155873,2707,19.44,7
AB-10255,CA-2016-151155,3721,18.92,8
AB-10255,CA-2016-151323,5136,17.05,9
AB-10255,CA-2017-155873,2706,16.68,10
AB-10255,CA-2015-110093,3613,16.45,11
AB-10255,CA-2016-151155,3722,15.42,12
AB-10255,US-2016-158708,1694,13.62,13
AB-10255,CA-2017-127705,1331,2.97,14
AB-10600,US-2017-155425,1368,899.14,1
AB-10600,US-2017-155425,1366,239.95,2
AB-10600,US-2017-155425,1367,201.58,3
AB-10600,US-2017-155425,1365,95.99,4
AB-10600,US-2017-155425,1364,38.39,5
AB-10600,CA-2015-158323,7754,17.09,6
AB-10600,CA-2014-115336,4131,14.48,7
AB-10600,CA-2015-111234,4217,9.24,8
AC-10420,CA-2014-129924,339,698.35,1
AC-10420,US-2017-158218,1857,127.92,2
AC-10420,CA-2016-144400,6237,57.58,3
AC-10420,US-2017-158218,1858,34.24,4
AC-10420,CA-2014-129924,338,7.71,5
AC-10450,CA-2017-141789,1897,1793.98,1
AC-10450,CA-2017-158729,3589,1665.62,2
AC-10450,CA-2016-163573,4116,1219.96,3
AC-10450,US-2014-167262,4772,742.34,4
AC-10450,CA-2015-164441,3025,52.27,5
AC-10450,CA-2015-164441,3026,17.94,6
AC-10450,CA-2016-116232,4666,16.56,7
AC-10450,US-2015-106495,5815,11.67,8
AC-10450,CA-2016-116232,4665,7.51,9
AC-10615,CA-2017-157987,1954,1282.41,1
AC-10615,CA-2017-157987,1949,254.53,2
AC-10615,CA-2017-157987,1956,238.0,3
AC-10615,CA-2017-157987,1952,197.97,4
AC-10615,CA-2017-157987,1957,167.97,5
AC-10615,CA-2015-100734,7472,147.18,6
AC-10615,CA-2017-136007,6028,71.96,7
