State,total_revenue
California,457687.63
New York,310827.15
Texas,170188.05
Washington,138641.27
Pennsylvania,116511.91
Florida,89473.71
Illinois,80166.1
Ohio,77976.76
Michigan,76269.61
Virginia,70350.34
North Carolina,55311.2
Indiana,53555.36
Georgia,49095.84
Kentucky,36501.69
New Jersey,35764.31
Arizona,35282.0
Wisconsin,32114.61
Colorado,32005.78
Tennessee,30661.87
Minnesota,29863.15
Massachusetts,28634.43
Delaware,27451.07
Maryland,23161.14
Rhode Island,22627.96
Missouri,22205.15
Oklahoma,19683.39
Alabama,19510.64
Oregon,17431.15
Nevada,16729.1
Connecticut,13384.36
Arkansas,11678.13
Utah,11220.06
Mississippi,10725.66
Louisiana,9217.03
Vermont,8929.37
South Carolina,8481.71
Nebraska,7464.93
New Hampshire,7292.52
Montana,5589.35
New Mexico,4783.52
Iowa,4579.76
Idaho,4382.49
Kansas,2914.31
District of Columbia,2865.02
Wyoming,1603.14
South Dakota,1315.56
Maine,1270.53
West Virginia,1209.82
North Dakota,919.91
