product_id,category,price,old_name,status,amount,base_price,region,priority,user_id,final_price
P101,Electronics,299.99,Item Alpha,Completed,1250.0,250.0,North,High,U1001,295.0
P102,Furniture,149.5,Item Beta,Pending,450.0,120.0,South,Low,U1002,141.6
P103,Electronics,899.0,Item Gamma,Completed,3200.5,750.0,East,High,,885.0
P104,Clothing,45.0,Item Delta,Completed,80.0,35.0,North,Medium,U1004,41.3
P105,Electronics,120.0,Item Epsilon,Cancelled,1500.0,100.0,West,Low,U1005,118.0
P106,Office Supplies,15.99,Item Zeta,Completed,2200.0,12.5,North,Low,U1006,14.75
P107,Electronics,450.0,Item Eta,Completed,950.0,380.0,South,High,U1007,448.4
P108,Furniture,620.0,Item Theta,Pending,1800.0,500.0,West,High,,590.0
P109,Electronics,1299.99,Item Iota,Completed,1450.0,1100.0,North,Medium,U1009,1298.0
P110,Clothing,85.5,Item Kappa,Completed,600.0,70.0,East,Low,U1010,82.6
