item_id,order_id,product_id,quantity,unit_price,discount_percent,is_return
ITEM000001,ORD004435,PROD0006,2,5.23,0,0
ITEM000002,ORD004435,PROD0073,1,118.58,10,0
ITEM000003,ORD001400,PROD0135,1,156.82,10,0
ITEM000004,ORD001400,PROD0315,1,10.71,30,0
ITEM000005,ORD002492,PROD0084,1,1559.58,20,0
ITEM000006,ORD002492,PROD0161,2,36.57,0,0
ITEM000007,ORD001404,PROD0458,1,924.42,0,0
ITEM000008,ORD003390,PROD0106,4,533.03,5,0
ITEM000009,ORD003390,PROD0137,2,220.75,10,0
ITEM000010,ORD003390,PROD0183,3,267.76,25,0
ITEM000011,ORD003390,PROD0223,2,145.04,40,0
ITEM000012,ORD003390,PROD0238,1,47.88,40,0
ITEM000013,ORD003186,PROD0232,3,23.86,0,0
ITEM000014,ORD003404,PROD0117,1,380.26,20,0
ITEM000015,ORD002971,PROD0482,1,534.18,30,0
ITEM000016,ORD002971,PROD0030,1,411.78,20,0
ITEM000017,ORD002971,PROD0418,3,1540.4,0,0
ITEM000018,ORD002367,PROD0130,2,336.28,40,0
ITEM000019,ORD002367,PROD0014,1,320.88,10,0
ITEM000020,ORD002367,PROD0418,1,1525.52,10,0
ITEM000021,ORD003087,PROD0467,4,759.83,25,0
ITEM000022,ORD003087,PROD0208,3,472.6,0,0
ITEM000023,ORD004271,PROD0195,1,62.59,10,0
ITEM000024,ORD001405,PROD0232,3,24.43,15,0
ITEM000025,ORD001405,PROD0219,2,975.46,40,0
ITEM000026,ORD001401,PROD0236,1,857.55,10,0
ITEM000027,ORD001401,PROD0199,1,19.3,10,0
ITEM000028,ORD003177,PROD0181,2,67.15,50,0
ITEM000029,ORD003177,PROD0258,4,196.8,0,0
ITEM000030,ORD003177,PROD0055,2,63.34,15,0
ITEM000031,ORD003177,PROD0270,1,41.39,40,0
ITEM000032,ORD003177,PROD0497,4,53.69,30,0
ITEM000033,ORD000375,PROD0111,2,165.68,10,0
ITEM000034,ORD003530,PROD0379,2,14.65,0,0
ITEM000035,ORD003530,PROD0205,4,507.36,15,0
ITEM000036,ORD003530,PROD0108,1,278.32,5,0
ITEM000037,ORD003530,PROD0331,3,82.23,20,0
ITEM000038,ORD003688,PROD0272,1,98.1,5,0
ITEM000039,ORD000887,PROD0469,1,114.73,10,0
ITEM000040,ORD000887,PROD0366,1,856.32,20,0
ITEM000041,ORD003391,PROD0192,1,218.41,40,0
ITEM000042,ORD003391,PROD0232,1,24.24,10,0
ITEM000043,ORD003391,PROD0460,1,29.26,0,0
ITEM000044,ORD003391,PROD0330,1,28.08,25,0
ITEM000045,ORD003391,PROD0457,2,107.23,0,0
ITEM000046,ORD002434,PROD0258,-2,192.43,15,1
ITEM000047,ORD003319,PROD0437,3,30.93,15,0
ITEM000048,ORD003319,PROD0149,1,1221.6,10,0
ITEM000049,ORD002422,PROD0181,1,68.24,40,0
ITEM000050,ORD002422,PROD0432,1,297.76,0,0
ITEM000051,ORD002422,PROD0469,3,116.63,25,0
ITEM000052,ORD003147,PROD0258,4,195.1,30,0
ITEM000053,ORD003147,PROD0459,3,40.2,10,0
ITEM000054,ORD003147,PROD0136,1,17.24,0,0
ITEM000055,ORD004326,PROD0494,2,186.76,0,0
ITEM000056,ORD004326,PROD0193,2,945.22,20,0
ITEM000057,ORD004326,PROD0015,1,485.45,0,0
ITEM000058,ORD004326,PROD0073,1,113.97,0,0
ITEM000059,ORD004326,PROD0108,1,283.45,15,0
ITEM000060,ORD000389,PROD0062,3,329.47,15,0
ITEM000061,ORD000389,PROD0190,1,477.82,50,0
ITEM000062,ORD002974,PROD0203,4,352.12,0,0
ITEM000063,ORD002974,PROD0230,1,6.61,20,0
ITEM000064,ORD002974,PROD0346,1,46.99,10,0
ITEM000065,ORD003325,PROD0135,1,155.17,25,0
ITEM000066,ORD003325,PROD0315,1,10.84,40,0
ITEM000067,ORD003882,PROD0358,1,29.18,15,0
ITEM000068,ORD003882,PROD0487,1,241.86,0,0
ITEM000069,ORD003882,PROD0282,3,31.14,20,0
ITEM000070,ORD003139,PROD0015,1,479.62,50,0
ITEM000071,ORD003139,PROD0114,2,226.56,0,0
ITEM000072,ORD003687,PROD0186,1,36.94,20,0
ITEM000073,ORD003687,PROD0469,3,110.54,50,0
ITEM000074,ORD003687,PROD0300,1,20.4,50,0
ITEM000075,ORD003523,PROD0146,1,237.46,20,0
ITEM000076,ORD003523,PROD0457,3,110.39,40,0
ITEM000077,ORD003523,PROD0228,1,118.68,15,0
ITEM000078,ORD003523,PROD0336,1,1659.5,0,0
ITEM000079,ORD003523,PROD0316,1,33.83,40,0
ITEM000080,ORD000393,PROD0086,1,228.9,10,0
ITEM000081,ORD000393,PROD0467,1,738.3,10,0
ITEM000082,ORD000393,PROD0287,1,1388.2,10,0
ITEM000083,ORD003184,PROD0349,2,657.24,50,0
ITEM000084,ORD003184,PROD0095,1,535.51,10,0
ITEM000085,ORD003184,PROD0328,1,15.9,50,0
ITEM000086,ORD004728,PROD0086,1,225.73,40,0
ITEM000087,ORD004728,PROD0467,2,780.74,30,0
ITEM000088,ORD002420,PROD0121,1,1167.26,10,0
ITEM000089,ORD002420,PROD0075,1,14.25,50,0
ITEM000090,ORD002420,PROD0120,1,189.44,5,0
ITEM000091,ORD002420,PROD0211,1,85.83,0,0
ITEM000092,ORD004475,PROD0217,3,41.64,25,0
ITEM000093,ORD003622,PROD0238,1,48.44,25,0
ITEM000094,ORD003674,PROD0105,4,173.09,5,0
ITEM000095,ORD003674,PROD0227,1,54.55,5,0
ITEM000096,ORD003674,PROD0303,1,48.54,0,0
ITEM000097,ORD000087,PROD0077,1,947.37,30,0
ITEM000098,ORD000087,PROD0366,1,886.32,20,0
ITEM000099,ORD000087,PROD0030,2,404.46,10,0
ITEM000100,ORD002424,PROD0250,1,115.31,10,0
ITEM000101,ORD002424,PROD0270,1,41.88,50,0
ITEM000102,ORD000328,PROD0469,1,112.44,10,0
ITEM000103,ORD000328,PROD0366,3,904.06,10,0
ITEM000104,ORD000328,PROD0281,3,1583.39,30,0
ITEM000105,ORD000841,PROD0482,1,535.02,10,0
ITEM000106,ORD000841,PROD0030,1,412.96,20,0
ITEM000107,ORD003996,PROD0287,2,1320.7,0,0
ITEM000108,ORD003996,PROD0219,2,987.53,0,0
ITEM000109,ORD003996,PROD0372,1,627.21,20,0
ITEM000110,ORD003996,PROD0032,1,227.53,0,0
ITEM000111,ORD001396,PROD0208,2,457.27,40,0
ITEM000112,ORD001396,PROD0181,1,67.31,10,0
ITEM000113,ORD003388,PROD0135,2,154.79,0,0
ITEM000114,ORD003388,PROD0315,1,11.17,40,0
ITEM000115,ORD002983,PROD0121,-2,1180.01,10,1
ITEM000116,ORD002983,PROD0464,-3,345.38,50,1
ITEM000117,ORD004441,PROD0499,3,42.62,30,0
ITEM000118,ORD004441,PROD0188,1,219.78,50,0
ITEM000119,ORD004441,PROD0130,1,337.92,0,0
ITEM000120,ORD004735,PROD0077,1,958.08,50,0
ITEM000121,ORD004735,PROD0205,1,523.14,20,0
ITEM000122,ORD003323,PROD0202,2,6.99,0,0
ITEM000123,ORD003323,PROD0444,1,9.42,0,0
ITEM000124,ORD003381,PROD0479,1,39.16,50,0
ITEM000125,ORD003381,PROD0374,4,104.54,25,0
ITEM000126,ORD003047,PROD0092,1,147.44,20,0
ITEM000127,ORD003047,PROD0266,1,20.13,0,0
ITEM000128,ORD003047,PROD0307,1,35.57,0,0
ITEM000129,ORD001259,PROD0181,2,67.3,50,0
ITEM000130,ORD001259,PROD0258,2,197.83,5,0
