order_id,customer_id,order_date,status,region_code
ORD004435,CUST00745,2024-08-30 14:54:21,DELIVERED,EAST
ORD001400,CUST00230,2024-09-01 03:53:44,DELIVERED,WEST
ORD002492,CUST00415,2024-09-01 13:09:25,DELIVERED,NORTH
ORD001404,CUST00230,2024-09-01 16:44:26,DELIVERED,WEST
ORD003390,CUST00570,2024-09-04 18:06:36,DELIVERED,WEST
ORD003186,CUST00539,2024-09-05 22:09:28,DELIVERED,NORTH
ORD003404,CUST00570,2024-09-07 18:30:21,PLACED,WEST
ORD002971,CUST00503,2024-09-09 07:25:03,DELIVERED,SOUTH
ORD002367,CUST00389,2024-09-17 12:29:24,PLACED,WEST
ORD003087,CUST00523,2024-09-17 15:11:57,DELIVERED,EAST
ORD004271,CUST00714,2024-09-18 08:32:23,DELIVERED,NORTH
ORD001405,CUST00230,2024-09-18 09:02:13,DELIVERED,WEST
ORD001401,CUST00230,2024-09-20 02:48:14,CANCELLED,WEST
ORD003177,CUST00539,2024-09-22 10:54:41,SHIPPED,NORTH
ORD000375,CUST00059,2024-09-23 08:26:35,PLACED,NORTH
ORD003530,CUST00588,2024-09-23 11:41:05,DELIVERED,CENTRAL
ORD003688,CUST00613,2024-09-24 08:59:33,DELIVERED,EAST
ORD000887,CUST00148,2024-09-24 11:43:54,CANCELLED,WEST
ORD003391,CUST00570,2024-09-24 15:27:31,DELIVERED,WEST
ORD002434,CUST00401,2024-09-25 14:31:38,RETURNED,NORTH
ORD003319,,2024-09-25 17:20:57,DELIVERED,NORTH
ORD002422,CUST00401,2024-09-26 12:44:25,CANCELLED,NORTH
ORD003147,CUST00533,2024-09-28 17:26:01,CANCELLED,SOUTH
ORD004326,CUST00725,2024-09-30 12:08:56,CANCELLED,CENTRAL
ORD000389,CUST00059,2024-10-01 16:15:52,DELIVERED,NORTH
ORD002974,CUST00503,2024-10-03 23:12:10,DELIVERED,SOUTH
ORD003325,CUST00557,2024-10-04 16:34:34,DELIVERED,NORTH
ORD003882,CUST00648,2024-10-06 08:08:55,DELIVERED,NORTH
ORD003139,CUST00533,2024-10-06 15:41:26,DELIVERED,SOUTH
ORD003687,CUST00613,2024-10-06 23:19:57,DELIVERED,EAST
ORD003523,CUST00588,2024-10-07 09:20:02,DELIVERED,CENTRAL
ORD000393,CUST00059,2024-10-07 16:00:52,DELIVERED,NORTH
ORD003184,,2024-10-09 11:19:56,SHIPPED,NORTH
ORD004728,CUST00797,2024-10-10 13:17:01,DELIVERED,NORTH
ORD002420,CUST00401,2024-10-12 11:35:56,DELIVERED,NORTH
ORD004475,CUST00749,2024-10-13 07:04:47,CANCELLED,WEST
ORD003622,CUST00606,2024-10-13 08:37:32,DELIVERED,WEST
ORD003674,CUST00613,2024-10-15 03:19:41,CANCELLED,EAST
ORD000087,CUST00014,2024-10-15 13:58:00,SHIPPED,EAST
ORD002424,CUST00401,2024-10-16 10:18:49,PLACED,NORTH
ORD000328,CUST00052,2024-10-17 17:44:34,PLACED,NORTH
ORD000841,CUST00139,2024-10-18 10:13:48,SHIPPED,SOUTH
ORD003996,CUST00668,2024-10-18 11:48:46,PLACED,CENTRAL
ORD001396,CUST00230,2024-10-18 13:34:03,DELIVERED,WEST
ORD003388,CUST00570,2024-10-18 00:00:00,SHIPPED,WEST
ORD002983,CUST00506,2024-10-19 16:04:13,RETURNED,SOUTH
ORD004441,CUST00745,2024-10-21 10:42:10,DELIVERED,EAST
ORD004735,CUST00797,2024-10-21 17:35:02,DELIVERED,NORTH
ORD003323,CUST00557,2024-10-23 09:23:58,CANCELLED,NORTH
ORD003381,CUST00570,2024-10-23 11:29:07,SHIPPED,WEST
ORD003047,CUST00516,2024-10-23 11:43:41,PLACED,CENTRAL
ORD001259,CUST00203,2024-10-27 16:07:10,CANCELLED,SOUTH
ORD003440,CUST00575,2024-10-27 19:49:32,DELIVERED,SOUTH
ORD002037,CUST00337,2024-10-28 08:21:15,SHIPPED,SOUTH
ORD004330,CUST00725,2024-10-28 18:39:00,DELIVERED,CENTRAL
ORD002808,CUST00467,2024-10-29 17:20:52,DELIVERED,SOUTH
ORD003143,CUST00533,2024-11-02 01:14:39,DELIVERED,SOUTH
ORD002254,,2024-11-02 12:52:10,CANCELLED,NORTH
ORD002985,CUST00506,2024-11-02 13:10:35,DELIVERED,SOUTH
ORD002260,,2024-11-02 14:40:38,SHIPPED,NORTH
ORD004073,CUST00681,2024-11-03 01:08:05,DELIVERED,NORTH
ORD001897,CUST00315,2024-11-05 12:03:39,SHIPPED,WEST
