product_id,product_name,category,subcategory,cost_price
PROD0001,Everline Smartwatch M997,Electronics,Wearables,150.84
PROD0002,Riverstone Throw M894,Home,Bedding,835.03
PROD0003,Halcyon Picture Book X364,Books,Children,47.82
PROD0004,Riverstone Camera M522,Electronics,Cameras,551.12
PROD0005,Riverstone Cookware Set M195,Home,Kitchen,418.2
PROD0006,Halcyon Textbook M462,Books,Academic,3.2
PROD0007,Halcyon Loafers Z304,Clothing,Footwear,12.09
PROD0008,Riverstone Blouse S954,Clothing,Womenswear,135.49
PROD0009,Lumen Runners X792,Clothing,Footwear,10.89
PROD0010,Northbay Anthology L480,Books,Fiction,34.55
PROD0011,Halcyon Sheet Set S882,Home,Bedding,713.05
PROD0012,Northbay Pillow Set Q918,Home,Bedding,44.42
PROD0013,Everline Picture Book M503,Books,Children,52.71
PROD0014,Umbra Shorts Z108,Clothing,Activewear,171.24
PROD0015,Umbra Phone M727,Electronics,Smartphones,218.92
PROD0016,Solace Bookcase L727,Home,Furniture,248.98
PROD0017,Pinegate Vase L817,Home,Decor,33.41
PROD0018,Meridian Rug S685,Home,Decor,640.04
PROD0019,Riverstone Tailored Trousers Q542,Clothing,Womenswear,117.43
PROD0020,Vantage Essays L925,Books,Non-Fiction,3.82
PROD0021,Everline Phone Q837,Electronics,Smartphones,260.31
PROD0022,Zephyr Duvet X807,Home,Bedding,74.83
PROD0023,Halcyon Overcoat Z198,Clothing,Menswear,13.87
PROD0024,Foxglove Problem Set Q929,Books,Academic,5.94
PROD0025,Waypoint Floor Lamp Z720,Home,Decor,12.16
PROD0026,Waypoint Tailored Trousers M789,Clothing,Womenswear,172.29
PROD0027,Trident Activity Book L746,Books,Children,47.07
PROD0028,Cobalt Tailored Trousers Z727,Clothing,Womenswear,72.56
PROD0029,Riverstone Short Stories M424,Books,Fiction,3.21
PROD0030,Solace Vase L899,Home,Decor,306.36
PROD0031,Arclight Pillow Set S845,Home,Bedding,139.58
PROD0032,Pinegate Runners S506,Clothing,Footwear,158.26
PROD0033,Foxglove Ultrabook X126,Electronics,Laptops,63.14
PROD0034,Vantage Anthology X770,Books,Fiction,3.39
PROD0035,Trident Casebook L741,Books,Academic,5.23
PROD0036,Arclight Blouse X779,Clothing,Womenswear,49.98
PROD0037,Foxglove Vase M661,Home,Decor,656.18
PROD0038,Foxglove Essays S705,Books,Non-Fiction,56.25
PROD0039,Foxglove Early Reader M455,Books,Children,16.72
PROD0040,Trident Field Guide M522,Books,Non-Fiction,38.34
PROD0041,Everline Armchair S452,Home,Furniture,76.48
PROD0042,Halcyon Throw M109,Home,Bedding,236.37
PROD0043,Foxglove Textbook M293,Books,Academic,21.32
PROD0044,Zephyr Picture Book L325,Books,Children,10.38
PROD0045,Everline Chef Knife Q926,Home,Kitchen,145.24
PROD0046,Cobalt Rug S973,Home,Decor,354.41
PROD0047,Meridian Phone Q563,Electronics,Smartphones,76.8
PROD0048,Vantage Duvet X647,Home,Bedding,34.41
PROD0049,Solace Handset S832,Electronics,Smartphones,1319.79
PROD0050,Arclight Novel L322,Books,Fiction,5.31
PROD0051,Waypoint Throw L813,Home,Bedding,80.27
PROD0052,Northbay Earbuds M894,Electronics,Audio,65.21
PROD0053,Pinegate Novel M936,Books,Fiction,17.89
PROD0054,Riverstone Anthology L889,Books,Fiction,3.56
PROD0055,Pinegate Biography L852,Books,Non-Fiction,32.18
PROD0056,Halcyon Smartwatch L797,Electronics,Wearables,607.97
PROD0057,Foxglove Floor Lamp Q225,Home,Decor,27.46
PROD0058,Waypoint Pillow Set X984,Home,Bedding,342.98
PROD0059,Umbra Knit Sweater X271,Clothing,Menswear,15.17
PROD0060,Arclight Chef Knife X695,Home,Kitchen,127.58
PROD0061,Riverstone Biography S611,Books,Non-Fiction,9.45
PROD0062,Northbay Ring Tracker X464,Electronics,Wearables,183.57
PROD0063,Umbra Chinos Q907,Clothing,Menswear,9.8
PROD0064,Zephyr Duvet M841,Home,Bedding,460.63
PROD0065,Meridian Sandals Q401,Clothing,Footwear,143.97
PROD0066,Waypoint Essays M849,Books,Non-Fiction,19.34
PROD0067,Foxglove Casebook S170,Books,Academic,44.71
PROD0068,Foxglove Track Jacket M564,Clothing,Activewear,19.78
