quarantine_reason,item_id,order_id,product_id,quantity,unit_price,discount_percent
order_id not present in cleaned orders,ITEM000727,ORD003969,PROD0279,3,380.62,15
order_id not present in cleaned orders,ITEM000728,ORD003969,PROD0249,1,7.92,30
order_id not present in cleaned orders,ITEM000729,ORD003969,PROD0203,1,337.82,30
order_id not present in cleaned orders,ITEM000730,ORD003969,PROD0193,1,968.49,5
order_id not present in cleaned orders,ITEM001494,ORD001823,PROD0484,1,16.69,40
order_id not present in cleaned orders,ITEM001495,ORD001823,PROD0298,4,22.31,50
order_id not present in cleaned orders,ITEM002626,ORD004091,PROD0186,2,36.06,50
order_id not present in cleaned orders,ITEM002627,ORD004091,PROD0469,2,111.83,10
order_id not present in cleaned orders,ITEM002628,ORD004091,PROD0282,1,31.04,15
order_id not present in cleaned orders,ITEM002629,ORD004091,PROD0173,1,43.01,40
order_id not present in cleaned orders,ITEM002630,ORD004091,PROD0119,3,15.9,30
order_id not present in cleaned orders,ITEM004008,ORD003226,PROD0062,1,332.2,10
order_id not present in cleaned orders,ITEM004009,ORD003226,PROD0208,2,479.14,10
order_id not present in cleaned orders,ITEM005126,ORD002098,PROD0409,1,19.94,40
order_id not present in cleaned orders,ITEM005645,ORD000665,PROD0232,1,24.67,25
order_id not present in cleaned orders,ITEM005646,ORD000665,PROD0219,1,992.89,40
order_id not present in cleaned orders,ITEM005647,ORD000665,PROD0208,1,468.6,5
order_id not present in cleaned orders,ITEM007747,ORD002026,PROD0462,-1,103.91,25
order_id not present in cleaned orders,ITEM008234,ORD001993,PROD0281,-1,1608.53,50
order_id not present in cleaned orders,ITEM008751,ORD000745,PROD0073,3,116.54,50
order_id not present in cleaned orders,ITEM010701,ORD004406,PROD0016,1,409.94,0
order_id not present in cleaned orders,ITEM010702,ORD004406,PROD0124,2,1190.53,25
order_id not present in cleaned orders,ITEM010703,ORD004406,PROD0492,2,81.76,25
order_id not present in cleaned orders,ITEM011002,ORD950419,PROD0247,1,196.73,0
order_id not present in cleaned orders,ITEM011003,ORD960369,PROD0177,1,96.03,5
order_id not present in cleaned orders,ITEM011004,ORD959386,PROD0420,3,14.41,10
order_id not present in cleaned orders,ITEM011005,ORD935823,PROD0108,2,285.49,25
order_id not present in cleaned orders,ITEM011006,ORD983736,PROD0324,1,305.69,50
order_id not present in cleaned orders,ITEM011007,ORD912125,PROD0406,3,79.59,10
order_id not present in cleaned orders,ITEM011008,ORD967820,PROD0446,4,203.09,20
order_id not present in cleaned orders,ITEM011009,ORD935584,PROD0336,2,1645.71,25
order_id not present in cleaned orders,ITEM011010,ORD976671,PROD0451,1,160.23,10
order_id not present in cleaned orders,ITEM011011,ORD970297,PROD0477,1,208.55,15
order_id not present in cleaned orders,ITEM011012,ORD954083,PROD0047,2,118.93,50
order_id not present in cleaned orders,ITEM011013,ORD967079,PROD0442,1,12.18,15
order_id not present in cleaned orders,ITEM011014,ORD951106,PROD0384,1,1576.78,25
order_id not present in cleaned orders,ITEM011015,ORD998646,PROD0258,1,201.99,10
order_id not present in cleaned orders,ITEM011016,ORD964904,PROD0147,1,608.0,30
quantity is zero or unreadable,ITEM000524,ORD002848,PROD0414,0,168.13,10
quantity is zero or unreadable,ITEM001106,ORD004550,PROD0007,0,17.36,20
quantity is zero or unreadable,ITEM001135,ORD002164,PROD0479,0,40.36,25
quantity is zero or unreadable,ITEM001288,ORD000019,PROD0105,0,174.59,10
quantity is zero or unreadable,ITEM001470,ORD000500,PROD0232,0,24.68,0
quantity is zero or unreadable,ITEM001560,ORD000358,PROD0219,0,948.13,40
quantity is zero or unreadable,ITEM001773,ORD002225,PROD0014,0,314.6,20
quantity is zero or unreadable,ITEM003546,ORD001768,PROD0264,0,32.51,15
quantity is zero or unreadable,ITEM003972,ORD003501,PROD0202,0,6.87,40
quantity is zero or unreadable,ITEM004777,ORD000049,PROD0077,0,956.43,50
quantity is zero or unreadable,ITEM005212,ORD004203,PROD0211,0,89.56,15
quantity is zero or unreadable,ITEM006020,ORD003945,PROD0181,0,67.68,5
quantity is zero or unreadable,ITEM006047,ORD000452,PROD0105,0,173.69,25
quantity is zero or unreadable,ITEM006844,ORD003471,PROD0100,0,1304.37,20
quantity is zero or unreadable,ITEM007227,ORD002724,PROD0468,0,2751.58,25
quantity is zero or unreadable,ITEM007430,ORD003700,PROD0299,0,1993.79,10
quantity is zero or unreadable,ITEM008431,ORD002268,PROD0360,0,463.37,10
quantity is zero or unreadable,ITEM009842,ORD001583,PROD0018,0,1112.94,0
quantity is zero or unreadable,ITEM009922,ORD002635,PROD0073,0,117.09,40
quantity is zero or unreadable,ITEM010980,ORD002909,PROD0004,0,861.46,15
