customer_id,order_date,previous_order_date,days_gap,avg_gap_days,risk_flag
CUST00001,2025-05-21,,,72.8,At Risk
CUST00001,2025-07-18,2025-05-21,58.0,72.8,At Risk
CUST00001,2025-11-27,2025-07-18,132.0,72.8,At Risk
CUST00001,2025-12-24,2025-11-27,27.0,72.8,At Risk
CUST00001,2026-01-07,2025-12-24,14.0,72.8,At Risk
CUST00001,2026-05-20,2026-01-07,133.0,72.8,At Risk
CUST00002,2025-05-14,,,386.0,At Risk
CUST00002,2026-06-04,2025-05-14,386.0,386.0,At Risk
CUST00004,2025-03-26,,,120.0,At Risk
CUST00004,2025-12-12,2025-03-26,261.0,120.0,At Risk
CUST00004,2026-03-10,2025-12-12,88.0,120.0,At Risk
CUST00004,2026-05-29,2026-03-10,80.0,120.0,At Risk
CUST00004,2026-07-19,2026-05-29,51.0,120.0,At Risk
CUST00005,2026-03-02,,,10.0,Healthy
CUST00005,2026-03-13,2026-03-02,11.0,10.0,Healthy
CUST00005,2026-03-22,2026-03-13,9.0,10.0,Healthy
CUST00007,2025-05-17,,,100.8,At Risk
CUST00007,2025-10-03,2025-05-17,139.0,100.8,At Risk
CUST00007,2026-01-02,2025-10-03,91.0,100.8,At Risk
CUST00007,2026-02-12,2026-01-02,41.0,100.8,At Risk
CUST00007,2026-06-24,2026-02-12,132.0,100.8,At Risk
CUST00008,2026-03-25,,,39.0,At Risk
CUST00008,2026-06-05,2026-03-25,72.0,39.0,At Risk
CUST00008,2026-06-11,2026-06-05,6.0,39.0,At Risk
CUST00009,2025-03-26,,,34.8,At Risk
CUST00009,2025-08-08,2025-03-26,135.0,34.8,At Risk
CUST00009,2025-08-13,2025-08-08,5.0,34.8,At Risk
CUST00009,2025-08-22,2025-08-13,9.0,34.8,At Risk
CUST00009,2025-09-17,2025-08-22,26.0,34.8,At Risk
CUST00009,2025-11-23,2025-09-17,67.0,34.8,At Risk
CUST00009,2026-01-28,2025-11-23,66.0,34.8,At Risk
CUST00009,2026-02-15,2026-01-28,18.0,34.8,At Risk
CUST00009,2026-02-19,2026-02-15,4.0,34.8,At Risk
CUST00009,2026-03-17,2026-02-19,26.0,34.8,At Risk
CUST00009,2026-03-28,2026-03-17,11.0,34.8,At Risk
CUST00009,2026-05-22,2026-03-28,55.0,34.8,At Risk
CUST00009,2026-06-13,2026-05-22,22.0,34.8,At Risk
CUST00009,2026-07-19,2026-06-13,36.0,34.8,At Risk
CUST00009,2026-07-26,2026-07-19,7.0,34.8,At Risk
CUST00010,2025-08-29,,,30.3,At Risk
CUST00010,2025-08-29,2025-08-29,0.0,30.3,At Risk
CUST00010,2025-11-22,2025-08-29,85.0,30.3,At Risk
CUST00010,2025-12-03,2025-11-22,11.0,30.3,At Risk
CUST00010,2025-12-16,2025-12-03,13.0,30.3,At Risk
CUST00010,2026-01-04,2025-12-16,19.0,30.3,At Risk
CUST00010,2026-01-12,2026-01-04,8.0,30.3,At Risk
CUST00010,2026-01-14,2026-01-12,2.0,30.3,At Risk
CUST00010,2026-02-24,2026-01-14,41.0,30.3,At Risk
CUST00010,2026-02-24,2026-02-24,0.0,30.3,At Risk
CUST00010,2026-05-04,2026-02-24,69.0,30.3,At Risk
CUST00010,2026-07-28,2026-05-04,85.0,30.3,At Risk
CUST00011,2025-12-07,,,16.8,Healthy
CUST00011,2025-12-22,2025-12-07,15.0,16.8,Healthy
CUST00011,2026-01-23,2025-12-22,32.0,16.8,Healthy
CUST00011,2026-01-27,2026-01-23,4.0,16.8,Healthy
CUST00011,2026-01-30,2026-01-27,3.0,16.8,Healthy
