order_month,value_band,customers,band_revenue
2024-08,Low,1,117.18
2024-09,Medium,1,5324.55
2024-09,Low,11,16884.72
2024-10,Medium,2,11213.04
2024-10,Low,21,17301.18
2024-11,Low,30,31199.21
2024-12,Low,34,34418.78
2025-01,Medium,1,5938.85
2025-01,Low,49,44456.3
2025-02,Medium,1,5754.52
2025-02,Low,45,42033.51
2025-03,Medium,1,5402.27
2025-03,Low,71,66546.37
2025-04,High,1,11101.33
2025-04,Medium,3,20848.53
2025-04,Low,58,55369.67
2025-05,Medium,3,17140.48
2025-05,Low,88,91803.97
2025-06,Medium,4,23423.64
2025-06,Low,74,79448.04
2025-07,Medium,2,11557.15
2025-07,Low,107,99751.23
2025-08,High,1,11309.88
2025-08,Medium,5,28496.17
2025-08,Low,111,87076.29
2025-09,High,1,10198.24
2025-09,Medium,4,25162.05
2025-09,Low,124,109081.84
2025-10,Medium,3,17060.05
2025-10,Low,119,141035.04
2025-11,Medium,8,46186.75
2025-11,Low,150,157583.35
2025-12,High,1,10670.47
2025-12,Medium,7,43018.67
2025-12,Low,172,188799.23
2026-01,Medium,5,34689.86
2026-01,Low,190,212255.96
2026-02,Medium,7,43144.07
2026-02,Low,192,200577.31
2026-03,High,2,27931.14
2026-03,Medium,12,74885.04
2026-03,Low,238,247314.02
2026-04,High,1,11547.68
2026-04,Medium,8,56022.73
2026-04,Low,237,245645.8
2026-05,High,1,12192.8
2026-05,Medium,12,74442.39
2026-05,Low,261,268967.88
2026-06,High,1,11243.65
2026-06,Medium,15,99373.41
2026-06,Low,248,294347.04
2026-07,High,1,10279.4
2026-07,Medium,16,105635.65
2026-07,Low,245,289654.75
2026-08,Medium,1,9408.29
2026-08,Low,14,6459.64
