product_a,product_b,times_bought_together,pair_rank
Kestrel Problem Set S847,Meridian Casebook Z560,53,1
Solace Vase L899,Meridian Camcorder L337,48,2
Umbra Oxford Shirt Q765,Solace Leggings X298,48,2
Orbita Problem Set M515,Meridian Soundbar Z867,47,3
Zephyr Camcorder Q499,Orbita Smartwatch Z220,47,3
Halcyon Textbook M462,Lumen Phone X684,46,4
Arclight Pillow Set L696,Northbay Blouse L415,45,5
Orbita Problem Set M515,Orbita Smartwatch Z220,45,5
Solace Wrap Dress Q623,Cobalt Oxford Shirt S235,45,5
Everline Earbuds X971,Vantage Cookware Set Z994,44,6
Orbita Novel Q812,Solace Floor Lamp X491,43,7
Vantage Action Cam S592,Meridian Tailored Trousers L673,41,8
Foxglove Activity Book Z341,Meridian Earbuds M194,40,9
Pinegate Earbuds Q635,Meridian Soundbar Z867,40,9
Solace Wrap Dress Q623,Vantage Cookware Set Z994,40,9
Umbra Oxford Shirt Q765,Everline Earbuds X971,40,9
Halcyon Textbook M462,Halcyon Kettle Z352,38,10
Northbay Blouse L415,Halcyon Kettle Z352,38,10
Riverstone Stand Mixer L819,Kestrel Cardigan X972,37,11
Arclight Stand Mixer Z673,Vantage Throw Z755,36,12
Northbay Field Guide S443,Kestrel Speaker L878,36,12
Pinegate Earbuds Q635,Solace Floor Lamp X491,36,12
Solace Vase L899,Vantage Ultrabook Q653,36,12
Umbra Oxford Shirt Q765,Kestrel Cardigan X972,36,12
Meridian Soundbar Z867,Vantage Throw Z755,35,13
Vantage Anthology X770,Trident Handset M572,35,13
Umbra Shorts Z108,Trident Handset M572,34,14
Waypoint Ultrabook X636,Vantage Picture Book M407,33,15
Kestrel Floor Lamp L215,Northbay Wrap Dress M688,31,16
Vantage Anthology X770,Kestrel Cardigan X972,31,16
Everline Earbuds X971,Meridian Biography Z298,4,17
Halcyon Chinos X579,Orbita Smartwatch Z220,4,17
Lumen Phone X684,Orbita Problem Set M515,4,17
Northbay Blouse L415,Meridian Casebook Z560,4,17
Solace Floor Lamp X491,Vantage Picture Book M407,4,17
Solace Vase L899,Orbita Smartwatch Z220,4,17
Trident Handset M572,Meridian Soundbar Z867,4,17
Vantage Action Cam S592,Vantage Ultrabook Q653,4,17
Zephyr Ankle Boots X668,Waypoint Problem Set X946,4,17
Arclight Pillow Set L696,Meridian Casebook Z560,3,18
Cobalt Oxford Shirt S235,Zephyr Camcorder Q499,3,18
Everline Earbuds X971,Halcyon Bookcase S918,3,18
Everline Earbuds X971,Halcyon Kettle Z352,3,18
Everline Earbuds X971,Pinegate Knit Sweater L325,3,18
Everline Earbuds X971,Solace Essays Q561,3,18
Everline Earbuds X971,Solace Short Stories Z619,3,18
Everline Earbuds X971,Waypoint Earbuds L652,3,18
Everline Training Tee S574,Meridian Biography Z298,3,18
Foxglove Leggings Q553,Trident Floor Lamp S458,3,18
Foxglove Ultrabook X126,Solace Short Stories Z619,3,18
